Seq,Inbred Line,Accesion N,accenumb,Breeding program,Pop structure,Year Rel,P1A,P2A,eraA,GroupA,TypeA,SourceA,,,,,Ped_line
3142,NC7,Ames12725,Ames 12725,North Carolina,unclassified,0,IndianChief,IndianChief,0,0,INBRED,0,,,,,A638_1
2976,NC13,Ames12726,Ames 12726,North Carolina,unclassified,0,IndianChief,IndianChief,0,0,INBRED,0,,,,,A638_2
3143,NC83,Ames12727,Ames 12727,North Carolina,unclassified,0,JarvisGoldenProlific,JarvisGoldenProlific,0,0,INBRED,0,,,,,A632_1S
2980,NC220,Ames12728,Ames 12728,North Carolina,unclassified,0,Funk12, Funk158,0,0,INBRED,0,,,,,MinnesotaSynthetic3 
2981,NC222,Ames12729,Ames 12729,North Carolina,unclassified,0,JarvisGoldenProlific,JarvisGoldenProlific,0,0,INBRED,0,,,,,MinnesotaSyntheticAS_A 
2984,NC224,Ames12730,Ames 12730,North Carolina,unclassified,0,NC224_1,IllnoisLowEar,0,0,INBRED,(NC33 X NC34) Illinois Low Ear,,,,,AR9
2985,NC230,Ames12731,Ames 12731,North Carolina,unclassified,0,K55,0,0,0,INBRED,K55 X Yellow line or hybrid,,,,,G3
1051,NC232,Ames12732,Ames 12732,North Carolina,unclassified,0,NC232_2,T204,0,0,INBRED,BC2 selfed,,,,,A39
2988,NC232,Ames12732,Ames 12732,North Carolina,unclassified,0,T204,NC232_2,0,0,INBRED,[(T204 XLow Ear outcross) T204 (2)],,,,,FUNK176A
1062,NC234,Ames12733,Ames 12733,North Carolina,unclassified,0,NC234_1,T204,0,0,Breeding cross,[T204 (Huffman Variety X Illinois Low Ear)],,,,,AR4
2991,NC236,Ames12734,Ames 12734,North Carolina,unclassified,0,NC7,NC236_1,0,0,INBRED,[NC7 (Huffman Variety X Illinois Low Ear)],,,,,ARMELSREIDYELLOWDENT
2994,NC238,Ames12735,Ames 12735,North Carolina,unclassified,0,GT112,NC238_1,0,0,INBRED,[(GT112 X NC601) GT112],,,,,ASSINIBOINE
3001,NC240A,Ames12736,Ames 12736,North Carolina,unclassified,0,L578,NC240_4,0,0,INBRED,[L578 (3) X NC601) L578],,,,,CUZCO
3005,NC242,Ames12737,Ames 12737,North Carolina,unclassified,0,NC222,NC242_2,0,0,INBRED,NC222 (3) X NC226,,,,,B14A_1
3006,NC244,Ames12738,Ames 12738,North Carolina,unclassified,0,NC222,NC242_2,0,0,INBRED,0,,,,,B14A_2
3010,NC246,Ames12739,Ames 12739,North Carolina,unclassified,0,NC246_2,NC246_3,0,0,INBRED,[GT112 (2) X Huffman] X (GT112 X Syn),NC246 was 63% GT112 and 25% T61 by pedigree.,,,,B14A_3
1072,NC248,Ames12740,Ames 12740,North Carolina,unclassified,0,0,0,0,0,INBRED C4 Self,(NC601 X GT112) BC4 (North Carolina),,,,,B14A_4
3014,NC248,Ames12740,Ames 12740,North Carolina,unclassified,0,GT112,NC248_3,0,0,INBRED,GT112 (5) X NC601, ,,,,B14A_5
677,89S4083,Ames12814,Ames 12814,Other,unclassified,0,0,0,0,0,INBRED,Unknown sources,"Hoegemeyer Hybrids, Inc. INBRED",,,,B14A_6
678,89S4098,Ames12815,Ames 12815,Other,unclassified,0,0,0,0,0,INBRED,Unknown sources,"Hoegemeyer Hybrids, Inc. INBRED",,,,B14A_7
679,89S4107,Ames12816,Ames 12816,Other,unclassified,0,0,0,0,0,INBRED,Unknown sources,"Hoegemeyer Hybrids, Inc. INBRED",,,,
680,89S4110,Ames12817,Ames 12817,Other,unclassified,0,0,0,0,0,INBRED,Unknown sources,"Hoegemeyer Hybrids, Inc. INBRED",,,,W25
681,89S4117,Ames12818,Ames 12818,Other,unclassified,0,0,0,0,0,INBRED,Unknown sources,"Hoegemeyer Hybrids, Inc. INBRED",,,,Ill.B10
682,89S4125,Ames12819,Ames 12819,Other,unclassified,0,0,0,0,0,INBRED,Unknown sources,"Hoegemeyer Hybrids, Inc. INBRED",,,,H
683,89S4127,Ames12820,Ames 12820,Other,unclassified,0,0,0,0,0,INBRED,Unknown sources,"Hoegemeyer Hybrids, Inc. INBRED",,,,CommercialhybridX
684,89S4145,Ames12821,Ames 12821,Other,unclassified,0,0,0,0,0,INBRED,Unknown sources,"Hoegemeyer Hybrids, Inc. INBRED",,,,S4LANCLINE
685,89S4154,Ames12822,Ames 12822,Other,unclassified,0,0,0,0,0,INBRED,Unknown sources,"Hoegemeyer Hybrids, Inc. INBRED",,,,R61_1
686,89S4157,Ames12823,Ames 12823,Other,unclassified,0,0,0,0,0,INBRED,Unknown sources,"Hoegemeyer Hybrids, Inc. INBRED",,,,R61
687,89S4190,Ames12824,Ames 12824,Other,unclassified,0,0,0,0,0,INBRED,Unknown sources,"Hoegemeyer Hybrids, Inc. INBRED",,,,A392
2703,T202,Ames14111,Ames 14111,Other,unclassified,0,K4,YS66,0,0,INBRED,0,,,,,Ill.A48
3991,Va3A,Ames14112,Ames 14112,Other,unclassified,0,0,0,0,0,0,Va3=[(H21 X T61) T61],,,,,M13
3970,Va12C,Ames14113,Ames 14113,Other,unclassified,0,0,0,0,0,INBRED,VA12=[(C.I.21 X C103) C103],,,,,OH40B_1
3972,Va14A,Ames14114,Ames 14114,Other,unclassified,0,Va14_1,C103,0,0,INBRED,K201 X C103 (2),,,,,W8
3986,Va35C,Ames14115,Ames 14115,Other,non-stiff stalk,0,(C103 x T8)T8,0,0,0,0,0,,,,,W92
3987,Va36A,Ames14116,Ames 14116,Other,non-stiff stalk,0,0,0,0,0,0,Va36=C103 X T8,,,,,OH45
1816,EAST028WHITECOB,Ames14211,Ames 14211,China,unclassified,0,0,0,0,0,0,0,,,,,Midland
2539,KS2,Ames14408,Ames 14408,Other,tropical,0,0,0,0,0,0,"Accession was developed. Mexico, Mexico",,,,,N32 
1003,Ab28A,Ames18999,Ames 18999,Other,unclassified,0,GT152,Oct-34,0,0,INBRED,0,,,,,BR10
4003,VaW6,Ames19000,Ames 19000,Other,unclassified,0,0,0,0,0,0,Unknown Pedigree,,,,,TEXASSURECROPPER
3973,Va16,Ames19001,Ames 19001,Other,unclassified,0,0,0,0,0,INBRED,Unknown Pedigree,,,,,R8
3974,Va17,Ames19002,Ames 19002,Other,unclassified,1,WF9,T8,2,5,INBRED,0,,,,,BSCB3
3974,Va17,Ames19002,Ames 19002,Other,unclassified,1,WF9,T8,2,5,INBRED,0,,,,,B76_1
3975,Va18A,Ames19003,Ames 19003,Other,unclassified,0,0,0,0,0,INBRED,Unknown Pedigree,,,,,BS11
3976,Va21A,Ames19004,Ames 19004,Other,unclassified,0,Va_LongEarSyn,Va_LongEarSyn,0,0,INBRED,,,,,,BS10
3977,Va21C,Ames19005,Ames 19005,Other,unclassified,0,Va_LongEarSyn,Va_LongEarSyn,0,0,INBRED,Va17 X C103 backcross,,,,,FourCountyWhite
3979,Va22B,Ames19006,Ames 19006,Other,non-stiff stalk,0,Va22_1,C103,0,0,INBRED,0,,,,,4CO63
3980,Va23,Ames19007,Ames 19007,Other,unclassified,0,0,0,0,0,INBRED,Unknown Pedigree,,,,,BSCB6
3981,Va24,Ames19008,Ames 19008,Other,unclassified,0,Va17 X Va36,0,0,0,0,0,,,,,BlacksYellowDent
3983,Va30,Ames19009,Ames 19009,Other,unclassified,0,[(Va17 X Va36) Va17],0,0,0,0,0,,,,,BL345
3988,Va37,Ames19010,Ames 19010,Other,unclassified,0,0,0,0,0,0,Unknown Pedigree,,,,,BloodyButcher(RectorStrain)
3989,Va38,Ames19011,Ames 19011,Other,unclassified,0,VaCBS (S) C2,0,0,0,0,0,,,,,BooneCountyWhite
3990,Va39,Ames19012,Ames 19012,Other,unclassified,0,Va17 X C103 backcross,0,0,0,0,0,,,,,ButlerCountyWhite
3993,Va46,Ames19013,Ames 19013,Other,unclassified,0,Va17 X Va36,0,0,0,0,0,,,,,ButlerCountyYellow
3995,Va52,Ames19014,Ames 19014,Other,unclassified,0,Wf9 outcross,0,0,0,0,0,,,,,C11
3996,Va58,Ames19015,Ames 19015,Other,unclassified,0,[(C103 X T8 (2))] X (C.I.21E X C103 (2))],0,0,0,0,0,,,,,C46
3997,Va59,Ames19016,Ames 19016,Other,non-stiff stalk,1,VA59_2,VA59_4,2,5,INBRED,0,,,,,CC5
3999,Va60,Ames19017,Ames 19017,Other,unclassified,0,T8,C103,0,0,INBRED,0,,,,,
4001,Va91,Ames19019,Ames 19019,Other,unclassified,0,Va17 X Va53,0,0,0,0,0,,,,,CI.7_1
1202,B37T,Ames19282,Ames 19282,Iowa,stiff stalk,0,B37,0,0,0,INBRED,T cytoplasm version of B37,,,,,CI.7
1203,B37TRf,Ames19283,Ames 19283,Iowa,stiff stalk,0,B37,0,0,0,INBRED,B37 with T cytoplasm restorer genes,,,,,KRUG
124,C103,Ames19284,Ames 19284,Connecticut Ag Exp Sta,non-stiff stalk,1946,LANCASTERSURECROP(NOAHHERSHEY),LANCASTERSURECROP(NOAHHERSHEY),0,0,INBRED,0,,,,,CrawfordCountyChief
1302,C103T,Ames19285,Ames 19285,Other,unclassified,0,C103,0,0,0,INBRED,Version of C103 from Charlie Martinson Plant Pathologiest at ISU,,,,,K557C
2659,Mo17T,Ames19286,Ames 19286,Other,non-stiff stalk,0,Mo17,0,0,0,INBRED,Mo17 in T CMS,,,,,
2660,Mo17TRf,Ames19287,Ames 19287,Other,non-stiff stalk,0,Mo17,0,0,0,INBRED,Mo17T restorer0,,,,,CI.21E_1
3276,Oh43,Ames19288,Ames 19288,Other,non-stiff stalk,1948,W8,OH40B,0,0,INBRED,0,,,,,B2BR
3280,Oh43T,Ames19289,Ames 19289,Other,non-stiff stalk,0,Oh43,0,0,0,INBRED,0,,,,,USSelection 119
3281,Oh43TRf,Ames19290,Ames 19290,Other,non-stiff stalk,0,Oh43,0,0,0,INBRED,0,,,,,ILLNOISTWOEAR
4023,W64A_T,Ames19292,Ames 19292,Other,stiff stalk,0,0,0,0,0,INBRED,Origin is not precisely known.,,,,,CI3_1
23,Wf9,Ames19293,Ames 19293,Other,stiff stalk,0,ReidYellowDent,ReidYellowDent,0,0,INBRED,0,,,,,CI13A_2
4030,Wf9T,Ames19294,Ames 19294,Other,unclassified,0,0,0,0,0,0,0,,,,,CI3A_1
892,A634,Ames19308,Ames 19308,Minnesota,stiff stalk,1,A632_2S,B14 ,2,4,INBRED,0,,,,,
39,A635,Ames19309,Ames 19309,Minnesota,stiff stalk,1,A635_2,B14,2,2,INBRED,0,,,,,CI66_1
902,A639,Ames19310,Ames 19310,Minnesota,unclassified,0,0,0,0,0,0,0,,,,,Clarage
904,A641,Ames19311,Ames 19311,Minnesota,stiff stalk,1,ND203,WF9,2,2,INBRED,0,,,,,CliveCorn
1303,C123,Ames19313,Ames 19313,Other,non-stiff stalk,1,C102,C103,1,1,INBRED,0,,,,,CM105_1
1379,CI64,Ames19314,Ames 19314,Other,unclassified,0,K64,Mo21A,0,0,INBRED,0,,,,,
1439,CM174,Ames19316,Ames 19316,Other,unclassified,0,CM105_1,B14,0,0,INBRED,BC1 self,,,,,KE3
2232,H107,Ames19318,Ames 19318,Indiana,non-stiff stalk,0,H107_1,H99,0,0,INBRED,0,,,,,BB85
2207,H95,Ames19319,Ames 19319,Indiana,non-stiff stalk,1,H95_4,B37,2,5,INBRED,0,,,,,W85
2907,N28,Ames19321,Ames 19321,Nebraska,unclassified,1964,BSSS1,BSSS1,1,1,INBRED,0,,,,,CR11
3301,Oh07B,Ames19323,Ames 19323,Other,unclassified,1,Oh11-6,Oh07,1,4,INBRED,0,,,,,190
3339,Pa871,Ames19324,Ames 19324,Other,unclassified,0,75F_5, Pa881P,0,0,INBRED,0,,,,,
3464,R168,Ames19326,Ames 19326,Illinois,unclassified,1,IllinoisSynthetic,IllinoisSynthetic,0,0,INBRED,0,,,,,
3807,Tx303,Ames19327,Ames 19327,Other,unclassified,1992,YellowSurcropper,YellowSurcropper,0,0,INBRED,0,,,,,
3978,Va22,Ames19328,Ames 19328,Other,non-stiff stalk,0,Va22_1,C103,0,0,INBRED,0,,,,,MO17HT
4007,W182B,Ames19330,Ames 19330,Wisconsin,unclassified,0,WD, W22,2,2,INBRED,0,,,,,643
2676,Mo23W,Ames20116,Ames 20116,Missouri,unclassified,0,Mo23W_1,MammothWhitePearl,0,0,INBRED,(K10 X Ky49/Mammoth White Pearl) (pipe corn),,,,,FRMO17
2679,Mo25W,Ames20118,Ames 20118,Missouri,unclassified,0,Mo23W_1,ZilerHi_Cob,0,0,INBRED,(K10 X K49/Ziler Hi-Cob) (pipe corn),,,,,NK387
2714,Mo40,Ames20119,Ames 20119,Missouri,unclassified,0,C103,Mo17,0,0,INBRED,Mo17 X C103 3rd Cycle,,,,,EarlyButler
2719,Mo42,Ames20120,Ames 20120,Missouri,non-stiff stalk,0,C103,Mo17,0,0,INBRED,Mo17 X C103 3rd Cycle,,,,,EichelburgerClarage
2270,H21W,Ames20136,Ames 20136,Indiana,unclassified,0,JohnsonCountyWhite,0,0,0,INBRED,0,,,,,LACAUNE
2273,H25W,Ames20137,Ames 20137,Indiana,non-stiff stalk,0,JohnsonCountyWhite,0,0,0,INBRED,0,,,,,Falconer
2896,Mt42,Ames20140,Ames 20140,Other,unclassified,1,MinnesotaNo13,MinnesotaNo13,2,1,INBRED,0,,,,,LH23
1442,CM37,Ames20190,Ames 20190,Other,unclassified,1,KE3,0,2,2,INBRED,0,,,,,FBHJ_1
1719,CO159,Ames20191,Ames 20191,Ontario,unclassified,0,Pioneer6124,0,0,0,INBRED,0,,,,,FE2
3451,R12,Ames21095,Ames 21095,Other,unclassified,0,NicholsonDroughtResistant,NicholsonDroughtResistant,0,0,INBRED,0,,,,,GoldenGlow
1404,R35,Ames21096,Ames 21096,Illinois,unclassified,0,Midland,0,0,0,INBRED,0,,,,,W9 
1360,CI31A,Ames21512,Ames 21512,Other,unclassified,1,MIDLAND,0,0,0,INBRED,0,,,,,352
986,A73,Ames22439,Ames 22439,Minnesota,unclassified,1,G3,AR9,2,2,INBRED,0,,,,,W59M_1
1313,CH157,Ames22441,Ames 22441,Harrow CA,unclassified,0,0,0,0,0,INBRED,Unknown peidigree,,,,,W59M_2
2828,Ms100,Ames22442,Ames 22442,Michigan,unclassified,1969,MS100_1,MS1334,0,0,INBRED,[(Oh40B X 38-11) MS1334],,,,,W59M
11,A188,Ames22443,Ames 22443,Minnesota,unclassified,1,A188_1,4_29,1,1,INBRED,0,,,,,FunksYellowDent
1443,CM48,Ames22747,Ames 22747,Other,unclassified,0,0,0,0,0,INBRED,Selection from Greece,,,,,G
2201,H100,Ames22748,Ames 22748,Indiana,stiff stalk,1,N28, H91,1,2,INBRED,0,,,,,PH495
2218,H104W,Ames22749,Ames 22749,Indiana,non-stiff stalk,0,H104W_3,A619,0,0,INBRED,0,,,,,PH331
2242,H112,Ames22750,Ames 22750,Indiana,non-stiff stalk,0,H107_1,H99,0,0,INBRED,0,,,,,GaspeFlint
2245,H114,Ames22751,Ames 22751,Indiana,unclassified,0,IllinoisSynthetic60B,0,0,0,INBRED,0,,,,,GoldenGlow(Smithersstrain)
2253,H119,Ames22752,Ames 22752,Indiana,unclassified,0,B73,H100,0,0,INBRED,0,,,,,GoldenKing
2261,H123,Ames22753,Ames 22753,Indiana,stiff stalk,0,H123_1,B,0,0,INBRED,,,,,,GourdseedDent
113,K55,Ames22754,Ames 22754,Other,unclassified,1,PrideofSaline(white strain),PrideofSaline(white strain),1,1,INBRED,0,,,,,HastingsYellowProlific
2904,N197,Ames22755,Ames 22755,Nebraska,non-stiff stalk,0,N197_1,Mo17,0,0,INBRED,[(Mo17 X early Krug line) Mo17],,,,,H91_1
3312,Os426,Ames22756,Ames 22756,Other,stiff stalk,1,OsterlandReidsYellowDent,OsterlandReidsYellowDent,1,1,INBRED,0,,,,,H91_2
3320,Pa405,Ames22757,Ames 22757,Other,non-stiff stalk,0,NY3,PA54,0,0,INBRED,0, ,,,,H91_3
3769,T61w.c.,Ames22758,Ames 22758,Other,unclassified,0,T61,T61WC_6,0,0,INBRED,(T61 X Snelling Stiff Stalk) T61 (6)],,,,,H91_4
3806,Tx29A,Ames22759,Ames 22759,Other,unclassified,0,Tx61M,Tx235,0,0,INBRED,0,,,,,
3817,Tx71,Ames22760,Ames 22760,Other,unclassified,0,Tx441,166,0,0,INBRED,Ky27xK55)x582),,,,,BSSS1
3832,Tx81,Ames22761,Ames 22761,Other,unclassified,0,Tx441 ,166,0,0,INBRED,,,,,,Tuxpan
3790,Tx118,Ames22762,Ames 22762,Other,unclassified,0,Mo17w3,Tx118_1,0,0,0,Mo17w3(Mo17xMo17syn),,,,,L97
1025,Tx601,Ames22763,Ames 22763,Other,unclassified,0,YellowTuxpan,0,0,0,INBRED, ,,,,,22-35
3823,Tx738,Ames22765,Ames 22765,Other,unclassified,0,Mo17,Tx706,0,0,INBRED,Mo17xTx706)-17-2-3-1-4-2,,,,,NK377
3836,Tx817w,Ames22766,Ames 22766,Other,unclassified,0,Tx29A,PoB68,0,0,INBRED,White version of Tx817,,,,,NK347
4020,W59E,Ames22767,Ames 22767,Wisconsin,unclassified,0,W59_1,W59_2,0,0,INBRED,[(WM13 X W.Va352) X (W9 X A49)),,,,,NKB386
1008,ABPl2,Ames22792,Ames 22792,Other,unclassified,0,0,0,0,0,INBRED,"Widrlechner, M., Ornamental Corn Improvement Project, Inc..",,,,,H8431_1
1010,ABPl4,Ames22793,Ames 22793,Other,unclassified,0,0,0,0,0,0,"Widrlechner, M., Ornamental Corn Improvement Project, Inc..",,,,,H93_1
1011,ABPl5,Ames22794,Ames 22794,Other,unclassified,0,0,0,0,0,0,"Widrlechner, M., Ornamental Corn Improvement Project, Inc..",,,,,H93_2
2631,Luo3,Ames2325,Ames 2325,China,unclassified,0,0,0,0,0,0,0,,,,,H93_3
3777,Taun23,Ames2326,Ames 2326,China,unclassified,0,0,0,0,0,INBRED,Unknown pedigree,,,,,H93_4
2561,Lai1029,Ames2327,Ames 2327,China,unclassified,0,0,0,0,0,INBRED,0,,,,,
3245,North7,Ames2328,Ames 2328,China,unclassified,0,0,0,0,0,0,Unknown pedigree,,,,,L.POP
3703,SW322,Ames2329,Ames 2329,China,unclassified,0,0,0,0,0,INBRED,Unknown pedigree,,,,,IllinoisHighYield
1815,East028,Ames2330,Ames 2330,China,unclassified,0,0,0,0,0,0,0,,,,,IllinoisSynthetic60C
4044,Yellow3-4,Ames2331,Ames 2331,China,unclassified,0,0,0,0,0,0,Unknown Pedigree,,,,,HaysGolden
1293,Bei10=North10,Ames2332,Ames 2332,China,unclassified,0,0,0,0,0,0,0,,,,,P3195
4047,Yong28,Ames2333,Ames 2333,China,unclassified,0,0,0,0,0,0,Unknown Pedigree,,,,,P3199
4048,Yong28br2,Ames2334,Ames 2334,China,unclassified,0,0,0,0,0,0,Unknown Pedigree,,,,,I224
4042,Ye4,Ames2335,Ames 2335,China,unclassified,0,0,0,0,0,0,Unknown Pedigree,,,,,P3901
540,52220,Ames2336,Ames 2336,China,unclassified,0,0,0,0,0,White Flint line from China before 1982,0,,,,,IBI
2455,Huanyao,Ames2337,Ames 2337,China,unclassified,0,0,0,0,0,0,0,,,,,7309B
3785,TwanxTzuh-S6,Ames2338,Ames 2338,China,unclassified,0,0,0,0,0,INBRED,Unknown pedigree,,,,,IDT
696,A15,Ames23389,Ames 23389,Minnesota,unclassified,0,KalmoesNo13 ,KalmoesNo13 ,0,0,INBRED,0,,,,,Ill.12E
2456,Huobai,Ames2339,Ames 2339,China,unclassified,0,0,0,0,0,0,0,,,,,ImprovedLeaming
776,A34,Ames23391,Ames 23391,Minnesota,unclassified,0,RustlerWhiteDent,RustlerWhiteDent,0,0,INBRED,0,,,,,C103G
989,A90,Ames23392,Ames 23392,Minnesota,unclassified,1,A48,A39,1,5,INBRED,0,,,,,NKP101
791,A96,Ames23393,Ames 23393,Minnesota,unclassified,0,A48,H ,0,0,0,0,,,,,Jarvis
689,A116,Ames23394,Ames 23394,Minnesota,unclassified,1,A9 ,A26,0,0,INBRED,0,,,,,JarvisGoldenProlific
698,A152,Ames23395,Ames 23395,Minnesota,unclassified,0,A2,A7 ,0,0,INBRED,0,,,,,Jellicorse
699,A155,Ames23396,Ames 23396,Minnesota,unclassified,0,A2,A7 ,0,0,INBRED,0,,,,,JohnsonCountyWhite
701,A158,Ames23397,Ames 23397,Minnesota,unclassified,0,A2,47,0,0,INBRED,0,,,,,PrideofSaline(yellow strain)
704,A166,Ames23398,Ames 23398,Minnesota,unclassified,0,A2,A39,0,0,INBRED,0,,,,,KansasSunflower
711,A201,Ames23399,Ames 23399,Minnesota,unclassified,0,A201_2,A2,0,0,INBRED,0,,,,,PrideofSaline(white strain)
4031,WFg3-9,Ames2340,Ames 2340,China,unclassified,0,0,0,0,0,0,0,,,,,KrugYellowDent
715,A203,Ames23400,Ames 23400,Minnesota,unclassified,0,C11,A203_3,0,0,INBRED,0,,,,,KrugYellowDent(Shroupstrain)
719,A204,Ames23401,Ames 23401,Minnesota,unclassified,0,C11,A204_3,0,0,INBRED,0,,,,,NCIaDDC
721,A208,Ames23402,Ames 23402,Minnesota,unclassified,0,C11 ,A204_3,0,0,INBRED,0,,,,,Coahila 8 
726,A218,Ames23403,Ames 23403,Minnesota,unclassified,0,C14,A218_2,0,0,INBRED,0,,,,,MannLeaming
729,A223,Ames23404,Ames 23404,Minnesota,unclassified,0,C14,A223_3,0,0,INBRED,0,,,,,LancasterSurecrop
734,A239,Ames23405,Ames 23405,Minnesota,unclassified,0,A73,A347,0,0,INBRED,0,,,,,Ladyfinger
737,A251,Ames23406,Ames 23406,Minnesota,unclassified,0,A73,Oh51A,0,0,INBRED,0,,,,,LateClarage
739,A257,Ames23407,Ames 23407,Minnesota,unclassified,0,A73,Os420,0,0,INBRED,0,,,,,LE773
743,A260,Ames23408,Ames 23408,Minnesota,unclassified,0,A367,Fe,0,0,INBRED,0,,,,,Leaming
747,A264,Ames23409,Ames 23409,Minnesota,unclassified,0,A334,A264_2,0,0,INBRED,0,,,,,LegalTenderYellowDent
3576,S330,Ames2341,Ames 2341,Poland,unclassified,0,0,0,0,0,0,Unknown pedigree,,,,,HD644
754,A265,Ames23410,Ames 23410,Minnesota,unclassified,0,B164,A265_2,0,0,INBRED,0,,,,,P3535
766,A286,Ames23413,Ames 23413,Minnesota,unclassified,0,A334,Oh07,0,0,INBRED,0,,,,,BS11LHC3
767,A288,Ames23414,Ames 23414,Minnesota,unclassified,0,A344,L317,0,0,INBRED,0,,,,,LH128_1
768,A295,Ames23415,Ames 23415,Minnesota,unclassified,1,A344,L317,0,0,INBRED,0,,,,,LH128_2
771,A305,Ames23417,Ames 23417,Minnesota,unclassified,0,C1,H ,0,0,INBRED,0,,,,,
773,A308,Ames23418,Ames 23418,Minnesota,unclassified,0,A48,A25,0,0,INBRED,0,,,,,LH132_1
775,A310,Ames23419,Ames 23419,Minnesota,unclassified,0,C6,H,0,0,INBRED,0,,,,,
777,A312,Ames23420,Ames 23420,Minnesota,unclassified,0,A34,A25,0,0,INBRED,0,,,,,LH51HT_1
778,A321,Ames23421,Ames 23421,Minnesota,unclassified,0,Ill.A,0,0,0,0,Related to Ill.A,,,,,LH51HT_2
779,A322,Ames23422,Ames 23422,Minnesota,unclassified,0,A39,A25 ,0,0,INBRED,0,,,,,LH51HT_3
744,A334,Ames23423,Ames 23423,Minnesota,unclassified,1,GoldenKing(McArthur),GoldenKing(McArthur),1,1,INBRED,0,,,,,LH51HT_4
782,A340,Ames23424,Ames 23424,Minnesota,unclassified,1,4_29,A48,1,3,INBRED,0,,,,,LH51HT_5
765,A344,Ames23425,Ames 23425,Minnesota,unclassified,1,US153(Iowa),US153(Iowa),0,0,INBRED,0,,,,,LH51HT_6
784,A357,Ames23426,Ames 23426,Minnesota,unclassified,0,28-Jun,H ,0,0,0,0,,,,,
786,A374,Ames23427,Ames 23427,Minnesota,unclassified,1,ReidYellowDent,ReidYellowDent,1,3,INBRED,0,,,,,LHEX644_1
