,Pedigree information,,,,,,Maturity indicators,,,,,,,,Disease resistance (1-5),,,,,,,,,,,,,,Insect resistance,,,,,Herbicide,Plant characteristics,,,,,,,,,,,,,Ear characteristics,,,,,,Grain characteristics,,,,,,,Combining ability for yield,,,,,,,Descriptive Remarks,,
10,CL02110,P21,Pob21C5HC219-3-2-2-3-B-2-2-###,P21-C5-FS219-3-2-2-3-B-2-2-B,P21C5F219-3-2-2-3-B-2-2-###,Lowland,Late,,1143,,,,,,1.4,,1.8,,,,,,,,,,,2.3,,,,,,,,Avg,,Low,,2.5,,,,,,,,,,,,,,W,SD,No,,,,,,2.0,,,, ,,Rust,1991,
11,CL02111,P21,Pob21C5HC219-3-2-2-3-#-7-1-B-4-1-B,P21-C5-FS219-3-2-2-3-#-7-1-B-4-1-B,P21C5F219-3-2-2-3-#-7-1-B-4-1-B,Lowland,Late,,1085,,,,,,1.7,,1.9,,,,,,,,,,,2.2,,,,,,,,Avg,,Avg,,2.5,,,,,,,,,,,,,,W,SD,No,,,,,,2.0,,,, ,,Rust,1991,
12,CL02112,P21,Pob21C5HC229-2-2-1-2-####,P21-C5-FS229-2-2-1-2-B,P21C5F229-2-2-1-2-####,Lowland,Late,,1073,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,Short,,Low,,2.0,,,,,,,,,,,,,,W,D,No,,,,,,2.0,,,, ,,,1991,
13,CL02113,P21,Pob21C5HC241-1-2-2-4-###,P21-C5-FS241-1-2-2-4-B,P21C5F241-1-2-2-4-###,Lowland,Late,,1160,,,,,,1.8,,3.1,,,,,,,,,,,3.3,,,,,,,,Short,,Avg,,1.5,,,,,,,,,,,,,,W,D,No,,,,,,2.0,,,, ,,Lodging,1991,
14,CL02114,P21,Pob21TUXP.SELSEQ.35-4-3-B,TUXPSEQ-35-4-3-B,P21TUXSEQ35-4-3-B,Lowland,Interm,,1036,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,Avg,,Avg,,1.5,,,,,,,,,,,,,,W,D,No,,,,,,2.0,,,, ,,Lodging,1991,
15,CL02201,P22,ACROSS7522-6-4-1-##,AC7522-6-4-1-B,AC7522-6-4-1-##,Lowland,Late,,1073,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,Avg,,Low,,2.0,,,,,,,,,,,,,,W,SD,No,,,,,,2.0,,,, ,,,1991,
16,CL02202,P22,Pob22HC100(S2)-20-3-BBB,P22-FS100-B-B-20-3-B,P22F100(S2)-20-3-BBB,Lowland,Late,,1152,,,,,,1.8,,2.2,,,,,,,,,,,2.6,,,,,,,,Tall,,High,,1.5,,,,,,,,,,,,,,W,F,No,,,,,,2.0,,,, ,,Lodging,1991,
17,CL02203,P22,Pob22TSR(S2)-40-2-1-2-B,P22TSR-B-B-40-2-1-2-B,P22TSR(S2)-40-2-1-2-B,Lowland,Late,,1136,,,,,,2.8,,1.9,,,,,,,,,,,2.8,,,,,,,,Tall,,Avg,,1.5,,,,,,,,,,,,,,W,F,No,,,,,,2.0,,,, ,,Lodging,1991,
18,CL02401,P24,Pob24HC26-1-3-B-#*5-B,P24-FS26-1-3-B,P24F26-1-3-B-#*5-B,Lowland,Late,,1070,,,,,,1.9,,2.9,,,,,,,,,,,2.1,,,,,,,,Avg,,Avg,,2.5,,,,,,,,,,,,,,Y,SD,No,,,,,,2.0,,,, ,, ,1991,
19,CL02402,P24,Pob24HC26-1-3-4-2-B-3-1-##,P24-FS26-1-3-4-2-B-3-1-B,P24F26-1-3-4-2-B-3-1-##,Lowland,Late,,1118,,,,,,1.5,,3.0,,,,,,,,,,,2.4,,,,,,,,Tall,,High,,2.0,,,,,,,,,,,,,,Y,SD,No,,,,,,2.0,,,, ,, ,1991,
20,CL02403,P24,Pob24HC34-2-3-B-###,P24-FS34-2-3-B,P24F34-2-3-B-###,Lowland,Late,,1078,,,,,,1.7,,2.1,,,,,,,,,,,2.2,,,,,,,,Avg,,High,,2.0,,,,,,,,,,,,,,Y,D,No,,,,,,2.0,,,, ,,Rust,1991,
21,CL02404,P24,Pob24HC227-1-2-1-1-2-2-##,P24-FS227-1-2-1-1-2-2-B,P24F227-1-2-1-1-2-2-##,Lowland,Interm,,1030,,,,,,2.3,,2.6,,,,,,,,,,,3.1,,,,,,,,Tall,,Avg,,2.0,,,,,,,,,,,,,,Y,SD,No,,,,,,3.0,,,, ,,,1991,
22,CL02501,P25,Pob25HC31-1-2-1-3-1-B-##,P25-FS31-1-2-1-3-1-B,P25F31-1-2-1-3-1-B-##,Lowland,Interm,,1001,,,,,,2.0,,2.4,,,,,,,,,,,1.7,,,,,,,,Tall,,Avg,,1.5,,,,,,,,,,,,,,W,F,No,,,,,,2.0,,,, ,,Lodging,1991,
23,CL02502,P25,Pob25HC112-2-2-2-1-4-B-##,P25-FS112-2-2-2-1-4-B,P25F112-2-2-2-1-4-B-##,Lowland,Interm,,937,,,,,,2.7,,2.7,,,,,,,,,,,2.1,,,,,,,,Avg,,Avg,,2.0,,,,,,,,,,,,,,W,F,No,,,,,,3.0,,,, ,,,1991,
24,CL02503,P25,Pob25HC128-2-1-B-###,P25-FS128-2-1-B,P25F128-2-1-B-###,Lowland,Late,,1102,,,,,,2.2,,2.8,,,,,,,,,,,2.5,,,,,,,,Avg,,Avg,,3.5,,,,,,,,,,,,,,W,F,No,,,,,,2.0,,,, ,,,1991,
25,CL02601,P26,Pob26HC37-1-4-B-#*5-B,P26-FS37-1-4-B,P26F37-1-4-B-#*5-B,Lowland,Interm,,1024,,,,,,2.1,,2.1,,,,,,,,,,,2.1,,,,,,,,Avg,,Avg,,2.0,,,,,,,,,,,,,,Y,F,No,,,,,,2.0,,,, ,,Rust,1991,
26,CL02602,P26,Pob26HC40-1-4-1-3-#-2-B-##,P26-FS40-1-4-1-3-#-2-B,P26F40-1-4-1-3-#-2-B-##,Lowland,Interm,,1036,,,,,,1.9,,2.1,,,,,,,,,,,2.1,,,,,,,,Tall,,High,,3.0,,,,,,,,,,,,,,Y,F,No,,,,,,2.0,,,, ,,Rust,1991,
27,CL02701,P27,Pob27HC1-1-3-B-###,P27-FS1-1-3-B,P27F1-1-3-B-###,Lowland,Interm,,1044,,,,,,1.6,,2.5,,,,,,,,,,,2.2,,,,,,,,Tall,,Low,,1.5,,,,,,,,,,,,,,Y,SD,No,,,,,,2.0,,,, ,,Lodging,1991,
28,CL02702,P27,Pob27HC35-8-3-B-####-B,P27-FS35-8-3-B,P27F35-8-3-B-####-B,Lowland,Interm,,1045,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,Short,,Avg,,1.5,,,,,,,,,,,,,,Y,F,No,,,,,,2.0,,,, ,,Lodging,1991,
29,CL02703,P27,Pob27HC71-3-1-B-#*5-B,P27-FS71-3-1-B,P27F71-3-1-B-#*5-B,Lowland,Late,,1072,,,,,,1.7,,1.8,,,,,,,,,,,2.0,,,,,,,,Avg,,Avg,,2.0,,,,,,,,,,,,,,Y,F,No,,,,,,2.0,,,, ,,Rust,1991,
30,CL02704,P27,Pob27HC71-3-1-1-1-#-BB-####,P27-FS71-3-1-1-1-B,P27F71-3-1-1-1-#-BB-####,Lowland,Late,,1079,,,,,,2.0,,2.0,,,,,,,,,,,2.0,,,,,,,,Avg,,Avg,,1.5,,,,,,,,,,,,,,Y,F,No,,,,,,2.0,,,, ,,,1991,
31,CL02705,P27,Pob27HC117-1-4-B-####,P27-FS117-1-4-B,P27F117-1-4-B-####,Lowland,Late,,1065,,,,,,1.7,,2.3,,,,,,,,,,,3.3,,,,,,,,Tall,,Avg,,2.0,,,,,,,,,,,,,,Y,F,No,,,,,,2.0,,,, ,,,1991,
32,CL02801,P28,Pob28(TSR)S2-11-2-4-B-1-##,P28TSR-B-B-11-2-4-B-1-B,P28(TSR)S2-11-2-4-B-1-##,Lowland,Interm,,1022,,,,,,2.3,,2.6,,,,,,,,,,,2.6,,,,,,,,Avg,,Low,,1.0,,,,,,,,,,,,,,Y,SD,No,,,,,,3.0,,,, ,,Lodging,1991,
33,CL02802,P28,Pob28(TSR)S2-21-3-1-3-1-####,P28TSR-B-B-21-3-1-3-1-B,P28(TSR)S2-21-3-1-3-1-####,Lowland,Interm,,1005,,,,,,1.5,,2.0,,,,,,,,,,,2.1,,,,,,,,Avg,,Avg,,1.0,,,,,,,,,,,,,,Y,F,No,,,,,,2.0,,,, ,,Rust,1991,
34,CL02901,P29,Pob29C5HC172-1-1-B-#-B,P29-C5-FS172-1-1-B,P29C5F172-1-1-B-#-B,Lowland,Interm,,1055,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,Avg,,Avg,,2.0,,,,,,,,,,,,,,W,D,No,,,,,,3.0,,,, ,,,1991,
35,CL02902,P29,Pob29C5HC294-1-2-1-1-#-B-1-#,P29-C5-FS294-1-2-1-1-#-B-1-B,P29C5F294-1-2-1-1-#-B-1-#,Lowland,Late,,1073,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,Short,,Avg,,2.0,,,,,,,,,,,,,,W,D,No,,,,,,3.0,,,, ,,,1991,
36,CL03201,P32,Pob32C4HC20-3-4-B-#-B,P32-C4-FS20-3-4-B,P32C4F20-3-4-B-#-B,Lowland,Late,,1090,,,,,,,,,,,,,,,,,,,1.9,,,,,,,,Tall,,Avg,,2.0,,,,,,,,,,,,,,W,F,No,,,,,,2.0,,,, ,,,1991,
37,CL03202,P32,Pob32C4HC128-1-1-B-#*5,P32-C4-FS128-1-1-B,P32C4F128-1-1-B-#*5,Lowland,Late,,1053,,,,,,2.0,,2.4,,,,,,,,,,,2.3,,,,,,,,Avg,,Avg,,2.5,,,,,,,,,,,,,,W,F,No,,,,,,3.0,,,, ,,Rust,1991,
38,CL03203,P32,Pob32C4HC142-1-1-B-###,P32-C4-FS142-1-1-B,P32C4F142-1-1-B-###,Lowland,Interm,,979,,,,,,2.0,,2.8,,,,,,,,,,,2.7,,,,,,,,Tall,,Avg,,2.5,,,,,,,,,,,,,,W,F,No,,,,,,2.0,,,, ,,,1991,
39,CL03204,P32,Pob32C4HC242-3-1-B-#*5,P32-C4-FS242-3-1-B,P32C4F242-3-1-B-#*5,Lowland,Late,,1055,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,Avg,,Low,,2.0,,,,,,,,,,,,,,W,F,No,,,,,,3.0,,,, ,,,1991,
40,CL03601,P36,Pob36C5HC144-2-2-B-###,P36-C5-FS144-2-2-B,P36C5F144-2-2-B-###,Lowland,Late,,1061,,,,,,2.4,,2.7,,,,,,,,,,,1.7,,,,,,,,Tall,,High,,2.5,,,,,,,,,,,,,,Y,SD,No,,,,,,2.0,,,, ,,,1991,
41,CL03602,P36,Pob36C5HC223-1-1-2-3-#-1-1-##,P36-C5-FS223-1-1-2-3-#-1-1-B,P36C5F223-1-1-2-3-#-1-1-##,Lowland,Interm,,932,,,,,,2.6,,3.0,,,,,,,,,,,2.1,,,,,,,,Tall,,Avg,,1.5,,,,,,,,,,,,,,Y,SD,No,,,,,,2.0,,,, ,,Lodging,1991,
42,CL04301,P43,ACROSS7643-15-1-1-##,AC7643-15-1-1-B,AC7643-15-1-1-##,Lowland,Late,,1049,,,,,,1.9,,2.4,,,,,,,,,,,2.5,,,,,,,,Tall,,High,,2.0,,,,,,,,,,,,,,W,D,No,,,,,,2.0,,,, ,,Rust,1991,
43,CL04302,P43,ACROSS7843-16-1-2-B-1-B,AC7843-16-1-2-B-1-B,AC7843-16-1-2-B-1-B,Lowland,Interm,,1036,,,,,,2.0,,2.0,,,,,,,,,,,2.5,,,,,,,,Avg,,Avg,,2.0,,,,,,,,,,,,,,W,D,No,,,,,,2.0,,,, ,,Rust,1991,
44,CL04303,P43,ACROSS7843-16-1-3-B-2-B,AC7843-16-1-3-B-2-B,AC7843-16-1-3-B-2-B,Lowland,Late,,1042,,,,,,1.6,,1.8,,,,,,,,,,,2.8,,,,,,,,Avg,,Avg,,2.0,,,,,,,,,,,,,,W,D,No,,,,,,2.0,,,, ,,Rust,1991,
45,CL04304,P43,ACROSS7643-17-1-1-BBB,AC7643-17-1-1-B,AC7643-17-1-1-BBB,Lowland,Late,,1047,,,,,,2.0,,2.8,,,,,,,,,,,2.7,,,,,,,,Tall,,High,,2.0,,,,,,,,,,,,,,W,D,No,,,,,,2.0,,,, ,,,1991,
46,CL04305,P43,ACROSS7843-32-2-B-###,AC7843-32-2-B,AC7843-32-2-B-###,Lowland,Late,,1054,,,,,,,,,,,,,,,,,,,1.8,,,,,,,,Tall,,Avg,,1.5,,,,,,,,,,,,,,W,D,No,,,,,,2.0,,,, ,,Lodging,1991,
47,CL04306,P43,Pob43C6HC133-1-5-1-BBB,P43-C6-FS133-1-5-1-B,P43C6F133-1-5-1-BBB,Lowland,Late,,1061,,,,,,2.1,,3.5,,,,,,,,,,,2.3,,,,,,,,Tall,,High,,2.0,,,,,,,,,,,,,,W,D,No,,,,,,3.0,,,, ,,,1991,
48,CL07301,P73,Porillo8073-11-1-1-##,PORRILLO8073-11-1-1-B,PORILLO8073-11-1-1-##,Lowland,Late,,1073,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,Tall,,Avg,,1.5,,,,,,,,,,,,,,W,D,No,,,,,,2.0,,,, ,,Ear rot,1991,
49,CL07302,P73,STA.ROSA8073-6-1-1-###,STAROSA8073-6-1-1-B,STAROSA8073-6-1-1-###,Lowland,Interm,,1038,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,Tall,,High,,1.5,,,,,,,,,,,,,,W,D,No,,,,,,2.0,,,, ,,Ear rot,1991,
50,CL07801,P78,ACROSS8078-2-4-1-##,AC8078-2-4-1-B,AC8078-2-4-1-##,Lowland,Interm,,1038,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,Avg,,Avg,,1.5,,,,,,,,,,,,,,Y,F,No,,,,,,2.0,,,, ,,Lodging,1991,
51,CL07901,P79,STA.ROSA8079-1-2-3-###,STAROSA8079-1-2-3-B,STAROSA8079-1-2-3-###,Lowland,Late,,1077,,,,,,2.2,,2.1,,,,,,,,,,,2.7,,,,,,,,Short,,Low,,1.5,,,,,,,,,,,,,,Y,F,No,,,,,,2.0,,,, ,,Lodging,1991,
52,CL07902,P79,STA.ROSA8079-22-2-2-##,STAROSA8079-22-2-2-B,STAROSA8079-22-2-2-##,Lowland,Late,,1141,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,Avg,,Avg,,1.5,,,,,,,,,,,,,,Y,F,No,,,,,,2.0,,,, ,,Ear rot,1991,
53,CLP2301,G23,G23C20MH268-1-2-##-3-1-#,G23-C20-HS268-1-2-#-#-3-1-B,G23C20H268-1-2-##-3-1-#,Lowland,Interm,,1001,,,,,,2.7,,3.0,,,,,,,,,,,2.6,,,,,,,,Avg,,Low,,2.5,,,,,,,,,,,,,,W,F,No,,,,,,3.0,,,, ,,,1991,
54,CLP2401,G24,G24C20MH94-1-4-B-1-3-1-1-B,G24-C20-HS94-1-4-B-1-3-1-1-B,G24C20H94-1-4-B-1-3-1-1-B,Lowland,Late,,1053,,,,,,2.3,,2.4,,,,,,,,,,,2.5,,,,,,,,Tall,,Avg,,3.0,,,,,,,,,,,,,,W,SD,No,,,,,,3.0,,,, ,,,1991,
55,CLP2402,G24,G24(TSR)-19-3-B-####,G24TSR-19-3-B,G24(TSR)-19-3-B-####,Lowland,Late,,1059,,,,,,1.8,,1.9,,,,,,,,,,,2.2,,,,,,,,Tall,,High,,1.0,,,,,,,,,,,,,,W,SD,No,,,,,,2.0,,,, ,,Lodging,1991,
56,CLP2403,G24,G24(TSR)-29-B-###,G24TSR-29-B,G24(TSR)-29-B-###,Lowland,Late,,1055,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,Avg,,Low,,1.5,,,,,,,,,,,,,,W,SD,No,,,,,,2.0,,,, ,,Ear rot,1991,
57,CLP2601,G26,G26C19MH17-3-1-BB-1-##,G26-C19-HS17-3-1-B-B-1-B,G26C19H17-3-1-BB-1-##,Lowland,Interm,,1027,,,,,,2.0,,2.1,,,,,,,,,,,1.8,,,,,,,,Tall,,Avg,,2.5,,,,,,,,,,,,,,Y,D,No,,,,,,2.0,,,, ,,,1991,
58,CLP2602,G26,G26C19MH29-5-2-BBB-##,G26-C19-HS29-5-2-B,G26C19H29-5-2-BBB-##,Lowland,Late,,1055,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,Avg,,Avg,,2.0,,,,,,,,,,,,,,Y,D,No,,,,,,3.0,,,, ,,,1991,
59,,Antigua,Ant11305-1-1-a-b11-2-3-b1-b1#b1,ANT11305-1-1-B11-2-3-B,ANT11305-1-1-A-B11-2-3-B1-B1#B1,Lowland,Late,,1165,,,,,,,,,3.0,,,,,,,,,,3.0,,,,,,,,Avg,,Avg,,2.0,,,,,,,,,,,,,,Y,SF,No,,,,,,3.0,,,, ,,,1991,
60,,Antigua,AntGP2-5#-1-2-5-1-1-1-b1-b1#b1,ANTGP2-5-#-1-2-5-1-1-1-B,ANTGP2-5#-1-2-5-1-1-1-B1-B1#B1,Lowland,Late,,1145,,,,,,,,,4.0,,,,,,,,,,3.0,,,,,,,,Avg,,Avg,,2.0,,,,,,,,,,,,,,Y,F,No,,,,,,3.0,,,, ,,,1991,
61,,P21,P21C5F57-1-1-3-b1#b1-b1#b1-b1,P21-C5-F57-1-1-3-B,P21C5F57-1-1-3-B1#B1-B1#B1-B1,Lowland,Late,,1220,,,,,,,,,4.0,,,,,,,,,,3.0,,,,,,,,Tall,,Avg,,1.0,,,,,,,,,,,,,,W,D,No,,,,,,3.0,,,, ,,Tar spot,1991,
62,,P21,P21C5F218-2-3-2-b1-b1-13-b1#b1,P21-C5-F218-2-3-2-B-B-13-B,P21C5F218-2-3-2-B1-B1-13-B1#B1,Lowland,Late,,1280,,,,,,,,,3.0,,,,,,,,,,4.0,,,,,,,,Tall,,Avg,,1.0,,,,,,,,,,,,,,W,D,No,,,,,,2.0,,,, ,,,1991,
63,,P21,P21C5F72-5-2-3-3-b1-b1-7-b1-b1#b1,P21-C5-F72-5-2-3-3-B-B-7-B,P21C5F72-5-2-3-3-B1-B1-7-B1-B1#B1,Lowland,Late,,1235,,,,,,,,,3.5,,,,,,,,,,4.0,,,,,,,,Tall,,Avg,,1.0,,,,,,,,,,,,,,W,D,No,,,,,,4.0,,,, ,,,1991,
64,,P21,P21C5F219-3-2-2-3-b1-1-3-b1-b1#b1,P21-C5-F219-3-2-2-3-B-1-3-B,P21C5F219-3-2-2-3-B1-1-3-B1-B1#B1,Lowland,Late,,1195,,,,,,,,,3.0,,,,,,,,,,4.0,,,,,,,,Avg,,Avg,,1.0,,,,,,,,,,,,,,W,D,No,,,,,,3.0,,,, ,,,1991,
65,,P22,P22/tsrS2-40-2-1-2-6-b1-b1#b1,P22TSR-B-B-40-2-1-2-6-B,P22/TSRS2-40-2-1-2-6-B1-B1#B1,Lowland,Late,,1255,,,,,,,,,4.0,,,,,,,,,,4.0,,,,,,,,Avg,,High,,2.0,,,,,,,,,,,,,,W,SD,No,,,,,,4.0,,,, ,,,1991,
66,,P25,P25C0F31-1-1-2-1-3-4-1-b1-b1#b1,P25-C0-F31-1-1-2-1-3-4-1-B,P25C0F31-1-1-2-1-3-4-1-B1-B1#B1,Lowland,Late,,1220,,,,,,,,,3.0,,,,,,,,,,4.0,,,,,,,,Avg,,Avg,,3.0,,,,,,,,,,,,,,W,F,No,,,,,,4.0,,,, ,,,1991,
67,,Antigua,(AntGp2-5#1/Ant38586-1)-6-b1-4-2-2-5-b1-b1,(ANTGP2-5-#-1/ANT38586-1)-6-B-4-2-2-5-B,(ANTGP2-5#1/ANT38586-1)-6-B1-4-2-2-5-B1-B1,Lowland,Late,,1180,,,,,,,,,4.0,,,,,,,,,,3.0,,,,,,,,Short,,High,,2.0,,,,,,,,,,,,,,Y,SD,No,,,,,,4.0,,,, ,,SWCB/FAW,1991,
68,,P32,P32C5F71-2-2-2-1-b1-8-b1-b1#b1,P32-C5-F71-2-2-2-1-B-8-B,P32C5F71-2-2-2-1-B1-8-B1-B1#B1,Lowland,Late,,1215,,,,,,,,,3.5,,,,,,,,,,3.0,,,,,,,,Avg,,Avg,,3.0,,,,,,,,,,,,,,W,F,No,,,,,,4.0,,,, ,,,1991,
69,,P36,P36C5F37-2-1-1-b1#b1-b1#b1-b1,P36-C5-F37-2-1-1-B,P36C5F37-2-1-1-B1#B1-B1#B1-B1,Lowland,Late,,1240,,,,,,,,,3.0,,,,,,,,,,2.0,,,,,,,,Tall,,Avg,,1.0,,,,,,,,,,,,,,Y,SD,No,,,,,,2.0,,,, ,,,1991,
70,,Antigua,(AntGp2-5#1/Ant38586-1)-6-b1-2-3-1-b1-b1#,(ANTGP2-5-#-1/ANT38586-1)-6-B-2-3-1-B,(ANTGP2-5#1/ANT38586-1)-6-B1-2-3-1-B1-B1#,Lowland,Late,,1240,,,,,,,,,4.0,,,,,,,,,,3.0,,,,,,,,Avg,,High,,2.0,,,,,,,,,,,,,,Y,F,No,,,,,,3.0,,,, ,,SWCB/FAW,1991,
71,,Antigua,AntGP2-5#-1-2-1-1-5-5-7-b1-b1#b1,ANTGP2-5-#-1-2-1-1-5-5-7-B,ANTGP2-5#-1-2-1-1-5-5-7-B1-B1#B1,Lowland,Late,,1235,,,,,,,,,3.0,,,,,,,,,,2.0,,,,,,,,Avg,,Avg,,2.0,,,,,,,,,,,,,,Y,F,No,,,,,,4.0,,,, ,,SWCB/FAW,1991,
72,,Antigua,AntGP2-5#-1-2-1-1-3-3-1-b1-b1#b1,ANTGP2-5-#-1-2-1-1-3-3-1-B,ANTGP2-5#-1-2-1-1-3-3-1-B1-B1#B1,Lowland,Late,,1185,,,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,Avg,,Low,,2.0,,,,,,,,,,,,,,Y,F,No,,,,,,4.0,,,, ,,Turcicum,1991,
73,,Antigua,AntGP2-5#-1-2-3-b1-1-1-1-b1-b1#b1,ANTGP2-5-#-1-2-3-B-1-1-1-B,ANTGP2-5#-1-2-3-B1-1-1-1-B1-B1#B1,Lowland,Late,,1200,,,,,,,,,4.0,,,,,,,,,,3.0,,,,,,,,Avg,,Avg,,2.0,,,,,,,,,,,,,,Y,F,No,,,,,,4.0,,,, ,,,1991,
74,,P43,ACROSS7843-16-1-1-b1-1-2-b1-b1#b1,AC7843-16-1-1-B-1-2-B,AC7843-16-1-1-B1-1-2-B1-B1#B1,Lowland,Late,,1240,,,,,,,,,3.0,,,,,,,,,,3.0,,,,,,,,Avg,,High,,2.0,,,,,,,,,,,,,,W,D,No,,,,,,4.0,,,, ,,,1991,
75,CLP3101,G31,G31C15MH436-2-1-B-1-###,G31-C15-HS436-2-1-B-1-B,G31C15H436-2-1-B-1-###,Subtropical,Interm,,1018,,,,,,,,,2.2,,,,,,,,,,1.5,,,,,,,,Avg,,Low,,2.0,,,,,,,,,,,,,,W,SF,No,,,,,,2.0,,,, ,,Turcicum,1992,
