Seq,Inbred Line,Accession,Breeding program,Pop structure,Year Rel,P1A,P2A,eraA,GroupA,TypeA,SourceA,,,,,Ped_line
1819,EP10,EP10,Spain,unclassified,0,WoodsNorthernWhiteDent,0,0,0,0,0,,,,,A237_1
,W59E_1,,,,,WM13,WVa352,,,Breeding Cross,,,,,,A237
4028,WD,Ames27195,Wisconsin,unclassified,1,WisconsinNo25,WisconsinNo25,0,0,INBRED,0,,,,,B164-886
,WD,,,,,WisconsinNo25,WisconsinNo25,,,INBRED,,,,,,A619_1
1440,CM182,Ames27036,Other,unclassified,0,Wisconsin25,B8,0,0,INBRED,0,,,,,BSSS 
1441,CM234,Ames27037,Other,unclassified,0,Wisconsin25,B8,0,0,INBRED,0,,,,,A632_1
3190,W37A,NSL30073,Wisconsin,unclassified,0,Wisconsin25,A374,0,0,INBRED,2nd cycle from topcross hybrid Wisconsin No. 25 X A374,,,,,A632_2
3434,PLS61/10870subline-1,PI343953,Other,unclassified,0,Wigor,Wigor,0,0,INBRED,0,,,,,
2486,INBR.PLS14MS.STERILE,PI343952,Other,unclassified,0,Wielkopolanda,Wielkopolanda,0,0,INBRED,"Male sterile form of PLS 14ms. Flint type, very early, good combiner; developed from open pollinated variety 'Wielkopolanda'.",,,,,A632_2S
3620,SC301E,NSL53082,Other,unclassified,0,WidevarietySynthetic,WidevarietySynthetic,0,0,INBRED,Wide variety Synthetic,,,,,ND302 
2277,H29w,Ames26781,Indiana,unclassified,0,White205-2,0,0,0,INBRED,0,,,,,A635_1
3626,SC244_1,,,,,White Tuxpan,LathamsDouble,,,Breeding Cross,,,,,,A635_2
2275,H27w,Ames26779,Indiana,unclassified,0,White _L,0,0,0,INBRED,0,,,,,
1954,GE281,Ames10257,Other,unclassified,0,Whatley,0,0,0,INBRED,0,,,,,W185
3630,SC357_1,,,,,WhatelyYellow,TennesseeRedCob,,,INBRED,,,,,,A21
3995,Va52,Ames19014,Other,unclassified,0,Wf9 outcross,0,0,0,0,0,,,,,V3
239,PA91_3,,,unclassified,0,Wf9 ,Oh43 ,0,0,F1 CROSS SEFLED 4 GENERATIONS,0,,,,,A638_1
,PA91_3,,,,,Wf9 ,Oh43 ,,,F1 CROSS SEFLED 4 GENERATIONS,,,,,,A638_2
1437,CM155,Ames27034,Other,unclassified,0,Wf9 ,Mt42,0,0,INBRED,0,,,,,A632_1S
,W64A,,,,,Wf9 ,CI187-2,,,INBRED,,,,,,MinnesotaSynthetic3 
2751,W64A,PI587152,Wisconsin,stiff stalk,1,WF9 ,CI187_2,0,0,INBRED,0,,,,,MinnesotaSyntheticAS_A 
872,A629,Ames23465,Minnesota,unclassified,0,Wf9 ,A629_1,0,0,INBRED,0,,,,,AR9
24,A554_1,,,unclassified,0,WF9,WD,0,0,PARENTAL CROSS,0,,,,,G3
,A554_1,,,,,WF9,WD,,,PARENTAL CROSS,,,,,,A39
871,A629_1,,,,,Wf9,V3,,,F1 breeding cross,,,,,,FUNK176A
3974,Va17,Ames19002,Other,unclassified,1,WF9,T8,2,5,INBRED,0,,,,,AR4
3974,Va17,Ames19002,Other,unclassified,1,WF9,T8,2,5,INBRED,0,,,,,ARMELSREIDYELLOWDENT
,Va17,,,,,WF9,T8,2,5,INBRED,,,,,,ASSINIBOINE
3542,R75_2,,,,,WF9,R75_1,,,BC1,,,,,,CUZCO
1041,T101_E,,,,,WF9,Oh51A,,,INBRED,,,,,,B14A_1
1042,T101_L,,,,,WF9,Oh51A,,,INBRED,,,,,,B14A_2
318,MO18W_1,,,unclassified,0,WF9,MO22,0,0,F1 PARENTAL CROSS,0,,,,,B14A_3
2650,Mo12_1,,,,,WF9,Mo22,,,Breeding Cross,,,,,,B14A_4
,MO18W_1,,,,,WF9,MO22,,,F1 PARENTAL CROSS,,,,,,B14A_5
2290,H49_1,,,unclassified,0,WF9,L97,0,0,PARENTAL CROSS,0,,,,,B14A_6
,H49_1,,,,,WF9,L97,,,PARENTAL CROSS,,,,,,B14A_7
3146,NC89,Ames30864,North Carolina,unclassified,0,WF9,IndianChief,0,0,INBRED,0,,,,,
3541,R75_1,,,,,WF9,IllinoisHighOil,,,Breeding Cross,,,,,,W25
880,A631,Ames23467,Minnesota,unclassified,0,Wf9,A631_3,0,0,INBRED,0,,,,,Ill.B10
879,A631_3,,,,,Wf9,A631_2,,,BC2,,,,,,H
878,A631_2,,,,,Wf9,A631_1,,,BC1,,,,,,CommercialhybridX
876,A630,Ames23466,Minnesota,unclassified,0,Wf9,A630_3,0,0,INBRED,0,,,,,S4LANCLINE
875,A630_3,,,,,Wf9,A630_2,,,BC2,,,,,,R61_1
874,A630_2,,,,,Wf9,A630_1,,,BC1,,,,,,R61
877,A631_1,,,,,Wf9,A509,,,F1 breeding cross,,,,,,A392
873,A630_1,,,,,Wf9,A116,,,F1 breeding cross,,,,,,Ill.A48
1086,R909,NSL30909,Illinois,unclassified,0,Wf9,0,0,0,INBRED,br2 recovery of Wf9,,,,,M13
1945,GA220,GA220,Other,unclassified,0,Wf9,0,0,0,INBRED,Open Pollinated ear of Wf9,,,,,OH40B_1
1948,GA224,Ames31252,Other,unclassified,0,Wf9,0,0,0,INBRED,Open Pollinated ear of Wf9,,,,,W8
3560,R909TMS,NSL29286,Illinois,unclassified,0,WF9,0,0,0,INBRED,T sterile R909,,,,,W92
3335,PAWF9,,,,,WF9,0,,,Synthetic,"PAWF9 synthetic was developed from various genetic sources crossed with WF9 and WF9 related lines, crosses selected on basis of resistance to leaf blights",,,,,OH45
3559,R909 ,,,,,WF9,0,,,INBRED,br2 recovery of Wf9,,,,,Midland
3566,PAG330,,,,,WF9,0,,,INBRED,,,,,,N32 
3743,RB893,,,,,WF9,0,,,INBRED,WF9 selection,,,,,BR10
3543,R75,NSL30874,Illinois,unclassified,0,WF10,R75_2,0,0,INBRED,Illinois High Oil X Wf9 (2),,,,,TEXASSURECROPPER
1935,NC37,,,,,WeekleysImproved,0,,,,,,,,,R8
2732,NC33,Ames27139,North Carolina,unclassified,1,WeekleyImproved,WeekleyImproved,1,1,Open Pollinated Variety,0,,,,,BSCB3
351,NC34,,,,,WeekleyImproved,WeekleyImproved,,,INBRED,,,,,,B76_1
,NC33,,,,,WeekleyImproved,WeekleyImproved,1,1,OP,,,,,,BS11
3217,ND468,NSL32729,North Dakota,unclassified,0,WD,WF9,0,0,INBRED,0,,,,,BS10
3218,ND474_1,,,,,WD,WF9,,,Breeding Cross,,,,,,FourCountyWhite
,W118BN_1,,,,0,WD,W22 ,,,Breeding Cross,,,,,,4CO63
3220,ND474,NSL32739,North Dakota,unclassified,0,WD,ND474_2,0,0,INBRED,[(WD X Wf9) WD (2)],,,,,BSCB6
3219,ND474_2,,,,,WD,ND474_1,,,BC1,,,,,,BlacksYellowDent
36,ND302 ,,,stiff stalk,0,WD,B14,0,0,INBRED,0,,,,,BL345
,ND302 ,,,,,WD,B14,,,INBRED,,,,,,BloodyButcher(RectorStrain)
4007,W182B,Ames19330,Wisconsin,unclassified,0,WD, W22,2,2,INBRED,0,,,,,BooneCountyWhite
4009,W182D,NSL30063,Wisconsin,unclassified,0,WD, W22,0,0,INBRED,0,,,,,ButlerCountyWhite
4010,W182E,NSL30074,Wisconsin,unclassified,1,WD, W22,1,3,INBRED,0,,,,,ButlerCountyYellow
,W182B,,,,,WD, W22,2,2,INBRED,,,,,,C11
,W182E,,,,,WD, W22,1,3,INBRED,,,,,,C46
4029,WD456,Ames30936,Other,unclassified,1,WaldenDent,WaldenDent,1,2,INBRED,0,,,,,CC5
,WD456,,,,,WaldenDent,WaldenDent,1,2,INBRED,,,,,,
758,W33,,,,,W9,WisconsinNo25,,,INBRED,,,,,,CI.7_1
3195,W59M_2,,,,0,W9,C49,,,Breeding Cross,,,,,,CI.7
142,W59M_2,,,unclassified,0,W9,A9,0,0,PARENTAL CROSS,0,,,,,KRUG
,W59M_2,,,,,W9,A9,,,PARENTAL CROSS,,,,,,CrawfordCountyChief
,W59E_2,,,,,W9,A49,,,Breeding Cross,,,,,,K557C
1444,CM7,Ames27070,Other,unclassified,1,W85,CMV3,1,1,INBRED,0,,,,,
,CM7,,,,,W85,CMV3,1,1,INBRED,,,,,,CI.21E_1
4026,W8304,PI601502,ExPVP,unclassified,1989,W8304_1,B73,0,0,INBRED,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=8900227,,,,,B2BR
279,W153R_1,,,unclassified,0,W8,US153(Iowa),0,0,F1 PARENTAL CROSS,0,,,,,USSelection 119
,W153R_1,,,,,W8,US153(Iowa),,,F1 PARENTAL CROSS,,,,,,ILLNOISTWOEAR
3276,Oh43,Ames19288,Other,non-stiff stalk,1948,W8,OH40B,0,0,INBRED,0,,,,,CI3_1
,OH43,,,,,W8,OH40B,,,INBRED,,,,,,CI13A_2
3170,ND252,PI550540,North Dakota,unclassified,0,W775,W771,0,0,INBRED,0,,,,,CI3A_1
3162,ND246,PI550490,North Dakota,unclassified,1980,W775,W771,2,2,INBRED,0,,,,,
3163,ND247,PI550503,North Dakota,unclassified,1981,W775,W771,0,0,INBRED,0,,,,,CI66_1
,ND246,,,,,W775,W771,2,2,INBRED,,,,,,Clarage
3193,W739,,,,0,W739_1,W739_2,,,INBRED,[(M13 X K148) X (37A X 191B)],,,,,CliveCorn
3198,ND300,PI607527,North Dakota,unclassified,1978,W739,W845,,,INBRED,(W739 í„ W845,,,,,CM105_1
760,W401,,,,,W67C,401_1,,,Inbred,Most likely the Wisconsin inbred W401,,,,,
3200,ND301,PI550491,North Dakota,unclassified,1980,W673,0,0,0,INBRED,outcross of W673,,,,,KE3
3689,SD60_1,,,,,W64A,SDexp10,,,Breeding Cross,,,,,,BB85
3511,R222A,NSL29898,Illinois,unclassified,0,W64A,R222A_3,0,0,INBRED,(W64A X Ht1B) W64A BC3,,,,,W85
3510,R222A_3,,,,,W64A,R222A_2,,,BC2,,,,,,CR11
3509,R222A_2,,,,,W64A,R222A_1,,,BC1,,,,,,190
3507,R222,NSL29319,Illinois,unclassified,0,W64A,R222_3,0,0,INBRED,(W64A X Ht1B) W64A BC3,,,,,
3506,R222_3,,,,,W64A,R222_2,,,BC2,,,,,,
3505,R222_2,,,,,W64A,R222_1,,,BC1,,,,,,
2752,Mo512AW,Ames28946,Missouri,unclassified,0,W64A,K6 ,0,0,INBRED,W64A X K6 gametophytic sterile (Ga-s),,,,,MO17HT
2753,Mo512BW,Ames28947,Missouri,unclassified,0,W64A,K6 ,0,0,INBRED,W64A X K6 gametophytic sterile (Ga-s),,,,,643
3504,R222_1,,,,,W64A,Ht1B,,,Breeding Cross,,,,,,FRMO17
3508,R222A_1,,,,,W64A,Ht1B,,,Breeding Cross,,,,,,NK387
4021,W64Aae,Ames26767,Wisconsin,stiff stalk,0,W64A,0,0,0,INBRED,0,,,,,EarlyButler
4022,W64Aae/wx,Ames26768,Other,stiff stalk,0,W64A,0,0,0,INBRED,0,,,,,EichelburgerClarage
1922,W438,Ames29447,Wisconsin,unclassified,1,W59M,CH9,0,0,INBRED,0,,,,,LACAUNE
,W438,,,,,W59M,CH9,,,INBRED,,,,,,Falconer
4020,W59E,Ames22767,Wisconsin,unclassified,0,W59_1,W59_2,0,0,INBRED,[(WM13 X W.Va352) X (W9 X A49)),,,,,LH23
3172,ND253,PI550541,North Dakota,unclassified,0,W59,W116,0,0,INBRED,0,,,,,FBHJ_1
1923,FR19,PI600772,ExPVP,stiff stalk,1,W438, A635,0,3,INBRED,0,,,,,FE2
,FR19,,,,,W438, A635,0,3,INBRED,,,,,,GoldenGlow
759,W401_1,,,,,W33,WisconsinNo25,,,F1 breeding cross,,,,,,W9 
948,A669_1,,,,,W33,Hy2,,,,,,,,,352
943,A667_1,,,,,W33,Nov-38,,,,,,,,,W59M_1
3202,W23yy,,,,,W23,,,,INBRED,,,,,,W59M_2
3490,R219_1,,,,,W22R,Ht1B,,,Breeding Cross,,,,,,W59M
3486,R218_1,,,,,W22R,Ht1A,,,Breeding Cross,,,,,,FunksYellowDent
3485,W22R,NSL30067,Wisconsin,non-stiff stalk,0,W22 ,0,0,0,INBRED,0,,,,,G
2305,H71_1,,,,,W22,NC24,,,Breeding Cross,,,,,,PH495
1211,B46,PI550469,Iowa,unclassified,1962,W22,B10,3,11,INBRED,0,,,,,PH331
,B46,,,,,W22,B10,3,11,INBRED,,,,,,GaspeFlint
1209,B45,PI550468,Iowa,unclassified,1962,W22, B10,0,0,INBRED,0,,,,,GoldenGlow(Smithersstrain)
3494,R220_1,,,,,W187R,Ht1A,,,Breeding Cross,,,,,,GoldenKing
3499,R221_1,,,,,W187R,Ht1A,,,Breeding Cross,,,,,,GourdseedDent
280,W153R,PI587154 ,Wisconsin,non-stiff stalk,1952,W153R_1,US153(Iowa),0,0,INBRED,0,,,,,HastingsYellowProlific
,W153R,,,,,W153R_1,US153(Iowa),,,INBRED,,,,,,H91_1
3295,W552,,,,1986,W153R,W552_2,,,INBRED,,,,,,H91_2
3294,W552_2,,,,,W153R,W552_1,,,BC1,,,,,,H91_3
3293,W552_1,,,,,W153R,SanGeronimo,,,Breeding Cross,W153R/San Geronimo followed by two backcrosses to W153R,,,,,H91_4
3515,R223,NSL42804,Illinois,unclassified,0,W153R,R223_3,0,0,INBRED,(W153R X Ht1B) W153R BC2,,,,,
3514,R223_3,,,,,W153R,R223_2,,,BC2,,,,,,BSSS1
3513,R223_2,,,,,W153R,R223_1,,,BC1,,,,,,Tuxpan
281,LH52_1,,,unclassified,0,W153R,Mo17 ,0,0,F1 PARENT CROSS HD610 IS LIKELY THE INBRED W153R  SOURCE MBS 1991 GENETICS HANDBOOK,0,,,,,L97
,LH52_1,,,,,W153R,Mo17 ,,,F1 PARENT CROSS HD610 IS LIKELY THE INBRED W153R  SOURCE MBS 1991 GENETICS HANDBOOK,,,,,,22-35
3512,R223_1,,,,,W153R,Ht1B,,,Breeding Cross,,,,,,NK377
3168,ND250,PI550531,North Dakota,unclassified,0,W12,W14,0,0,INBRED,0,,,,,NK347
4008,W182BN,PI587155,Wisconsin,unclassified,0,W118BN_1,0,0,0,INBRED,WD/W22 Outcross,,,,,NKB386
1752,CR1HT,PI601080,ExPVP,unclassified,1,W117HT,MO17HT,3,2,INBRED,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=8400042,JC ROBINSON PVP,,,,H8431_1
,CR1Ht,,,,,W117HT,MO17HT,3,2,JC ROBINSON PVP,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=8400042,,,,,H93_1
443,S8326_1,,,unclassified,0,W117,Mo17,0,0,PARENTAL CROSS,0,,,,,H93_2
,S8326_1,,,,,W117,Mo17,,,PARENTAL CROSS,,,,,,H93_3
3678,SD43,PI518660,Other,unclassified,1988,W117,H96,0,0,INBRED,0,,,,,H93_4
516,779,PI601376,ExPVP,unclassified,1,W117,CM7,3,12,NK PVP LINE,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=8700041,,,,,
,779,,,,,W117,CM7,3,12,NK PVP LINE,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=8700041,,,,,L.POP
515,778,PI601375,ExPVP,unclassified,1,W117,B37HT,3,11,NK PVP LINE,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=8700045,,,,,IllinoisHighYield
523,807,PI601430,ExPVP,unclassified,1,W117,B37HT,3,11,NK PVP LINE,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=8700151,,,,,IllinoisSynthetic60C
,778,,,,,W117,B37HT,3,11,NK PVP LINE,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=8700045,,,,,HaysGolden
,807,,,,,W117,B37HT,3,11,NK PVP LINE,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=8700151,,,,,P3195
4005,W117HT,Ames8399,Wisconsin,unclassified,0,W117,0,0,0,INBRED,Ht version of W117,,,,,P3199
959,A671_1,,,,,W103,N13A,,,,,,,,,I224
2876,MS57,Ames24709,Michigan,non-stiff stalk,1969,W10,Oh40B,0,0,INBRED,0,,,,,P3901
2878,MS68,Ames24711,Michigan,non-stiff stalk,1972,W10,Oh40B,0,0,INBRED,0,,,,,IBI
2831,MS106,Ames24727,Michigan,unclassified,1963,W10,MS9,0,0,INBRED,0,,,,,7309B
2880,MS72,Ames24713,Michigan,unclassified,1972,W10,MS206,0,0,INBRED,0,,,,,IDT
4000,Va85,Ames27193,Other,unclassified,1,VirginiaLongEarSynthetic,VirginiaLongEarSynthetic,2,2,INBRED,0,,,,,Ill.12E
,VA85,,,,,VirginiaLongEarSynthetic,VirginiaLongEarSynthetic,2,2,INBRED,,,,,,ImprovedLeaming
2795,MR01AraguitoS6,Ames30522,Other,landraces,0,VEN568,VEN568,0,0,INBRED,0,,,,,C103G
3989,Va38,Ames19011,Other,unclassified,0,VaCBS (S) C2,0,0,0,0,0,,,,,NKP101
,Va14_1,,,,,VaCBS,Va17,,,Breeding Cross,,,,,,Jarvis
2574,LH156,PI601403,ExPVP,non-stiff stalk,1,VA85,PA91,3,2,Holdens PVP Line,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=8700090,,,,,JarvisGoldenProlific
,LH156,,,,,VA85,PA91,3,2,Holdens PVP Line,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=8700090,,,,,Jellicorse
467,VA59_4,,,unclassified,0,VA59_3,C103,0,0,BC1,0,,,,,JohnsonCountyWhite
,VA59_4,,,,,VA59_3,C103,,,BC1,,,,,,PrideofSaline(yellow strain)
3997,Va59,Ames19016,Other,non-stiff stalk,1,VA59_2,VA59_4,2,5,INBRED,0,,,,,KansasSunflower
,VA59,,,,,VA59_2,VA59_4,2,5,INBRED,,,,,,PrideofSaline(white strain)
465,VA59_2,,,unclassified,0,VA59_1,T8,0,0,BC1,0,,,,,KrugYellowDent
,VA59_2,,,,,VA59_1,T8,,,BC1,,,,,,KrugYellowDent(Shroupstrain)
3969,VA102,Va102,Other,unclassified,0,Va59,Va60,0,0,INBRED,0,,,,,NCIaDDC
3985,Va35,PI587150,Other,non-stiff stalk,1,VA35_1,T8,0,0,INBRED,0,,,,,Coahila 8 
,VA35,,,,,VA35_1,T8,,,INBRED,,,,,,MannLeaming
288,LH47_1,,,unclassified,0,VA35,H20,0,0,F1 PARENTAL CROSS,0,,,,,LancasterSurecrop
,LH47_1,,,,,VA35,H20,,,F1 PARENTAL CROSS,,,,,,Ladyfinger
3978,Va22,Ames19328,Other,non-stiff stalk,0,Va22_1,C103,0,0,INBRED,0,,,,,LateClarage
3979,Va22B,Ames19006,Other,non-stiff stalk,0,Va22_1,C103,0,0,INBRED,0,,,,,LE773
4001,Va91,Ames19019,Other,unclassified,0,Va17 X Va53,0,0,0,0,0,,,,,Leaming
3981,Va24,Ames19008,Other,unclassified,0,Va17 X Va36,0,0,0,0,0,,,,,LegalTenderYellowDent
3993,Va46,Ames19013,Other,unclassified,0,Va17 X Va36,0,0,0,0,0,,,,,HD644
3990,Va39,Ames19012,Other,unclassified,0,Va17 X C103 backcross,0,0,0,0,0,,,,,P3535
517,787,PI601490,ExPVP,unclassified,1,VA17,VA29,3,12,NK PVP LINE,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=8800029,,,,,BS11LHC3
,787,,,,,VA17,VA29,3,12,NK PVP LINE,http://www.ars-grin.gov/cgi-bin/npgs/html/showpvp.pl?pvpno=8800029,,,,,LH128_1
3286,Oh559_1,,,,,Va17,Oh551,,,Breeding Cross,,,,,,LH128_2
,Va22_1,,,,,Va17,C103,,,Breeding Cross,,,,,,
3971,Va14,Ames27192,Other,unclassified,0,Va14_1,Va17,0,0,INBRED,[(VaCBS Selection X Va17) Va17],,,,,LH132_1
3972,Va14A,Ames14114,Other,unclassified,0,Va14_1,C103,0,0,INBRED,K201 X C103 (2),,,,,
3976,Va21A,Ames19004,Other,unclassified,0,Va_LongEarSyn,Va_LongEarSyn,0,0,INBRED,,,,,,LH51HT_1
3977,Va21C,Ames19005,Other,unclassified,0,Va_LongEarSyn,Va_LongEarSyn,0,0,INBRED,Va17 X C103 backcross,,,,,LH51HT_2
43,A638_1,,,unclassified,0,V3,WF9,0,0,PARENTAL CROSS,0,,,,,LH51HT_3
,A638_1,,,,,V3,WF9,,,PARENTAL CROSS,,,,,,LH51HT_4
117,CM105_1,,,unclassified,1970,V3,B14,0,0,PARENTAL CROSS,0,,,,,LH51HT_5
,CM105_1,,,,,V3,B14,,,PARENTAL CROSS,,,,,,LH51HT_6
911,A649_1,,,,,V3,A321 ,,,,,,,,,
1340,CI23,CIze23,Other,unclassified,0,USSelection119,USSelection119,0,0,INBRED,0,,,,,LHEX644_1
1333,CI11B,Ames26118,Other,unclassified,1,USSelection119,USSelection119,0,0,INBRED CI11B DERIVED BY SELFING US119,0,,,,,LHEX644_2
1345,CI24,,,unclassified,0,USSelection119,0,0,0,0,U.S. Selection 119,,,,,LHEX644
1367,CI41,Ames26129,Other,unclassified,0,USSelection119,0,0,0,INBRED,0,,,,,LH145_1
1370,CI43,Ames28952,Other,unclassified,0,USSelection119,0,0,0,INBRED,0,,,,,LH145_2
765,A344,Ames23425,Minnesota,unclassified,1,US153(Iowa),US153(Iowa),0,0,INBRED,0,,,,,LH145_3
,A344,,,,,US153(Iowa),US153(Iowa),,,INBRED,,,,,,LH145_4
,CI24,,,,,US SELECTION119,US SELECTION119,,,INBRED,,,,,,LH145_5
1982,GEMN-0047,Ames27200,GEM,non-stiff stalk,0,URZM_13_085,0,0,0,INBRED,0,,,,,
1716,CO125,Ames27106,Ontario,unclassified,0,Unknown,0,0,0,INBRED,Unknown Peidgree,,,,,LH146HT_1
483,1061_1,,,unclassified,0,UNK,Unknown inbred,0,0,UNKNOWN DEKALB INBRED,0,,,,,LH146HT_2
,1061_1,,,,,UNK,UNK,,,UNKNOWN DEKALB INBRED,,,,,,LH146HT_3
967,A674,Ames23498,Minnesota,unclassified,0,ULR,0,0,0,0,0,,,,,LH146HT_4
966,A673,Ames23497,Minnesota,unclassified,0,UCD73,0,0,0,0,0,,,,,LH146HT_5
,CI11B,,,,,U.S. Selection 119,U.S. Selection 119,,,INBRED CI11B DERIVED BY SELFING US119,,,,,,LH146HT_6
4051,Z28,PI550924,Other,tropical,1991,TZSRW,ZambiaMat,0,0,INBRED,TZSRW/Zambia Mat.,,,,,LH149_1
3958,TZSTRI121,PI639945,Nigeria,tropical,2006,TZMSR-W IPTT,0,0,0,INBRED,0,,,,,LH149_2
544,87014,PI550920,Other,tropical,1990,TZMSR ,0,0,0,0, ,,,,,P3147
545,87036,PI550922,Other,tropical,1990,TZMSR ,0,0,0,,,,,,,PA91_1
546,88030,PI550919,Other,tropical,1990,TZMSR ,0,0,0,0,,,,,,PA91_2
2632,M131,PI550925,Other,tropical,0,TZMSR,TZMSR,0,0,INBRED,0,,,,,PA91_3
554,89199,PI550903,Other,tropical,1990,TZMSR,TZMSR,0,0,0,0,,,,,
555,89207,PI550904,Other,tropical,1990,TZMSR,TZMSR,0,0,0,0,,,,,Virginia Long Ear Synthetic
556,89246,PI550905,Other,tropical,1990,TZMSR,TZMSR,0,0,0,0,,,,,EARLYMO17COMPOSITE
557,89248,PI550906,Other,tropical,1990,TZMSR,TZMSR,0,0,0,0,,,,,W771
550,88091,PI550901,Other,tropical,1990,TZMSR,EAFRICAMX,0,0,0,0,,,,,W775
551,88094,PI550917,Other,tropical,1990,TZMSR,EAFRICAMX,0,0,White dent/flint ,0,tropical midaltitude inbred. Moderate resistance to Physoderma maydis and Puccinia sorghi.,,,,Laguna
552,88098,PI550902,Other,tropical,1990,TZMSR,EAFRICAMX,0,0,0,0,,,,,Mo21A
553,88099,PI550913,Other,tropical,1990,TZMSR,EAFRICAMX,0,0,0,0,,,,,C.I.14
3919,TZMI712,PI635123,Nigeria,tropical,2004,TZMI501,ZSR923,0,0,INBRED,S4 bulk,,,,,ILL.A
3920,TZMI713,PI635124,Nigeria,tropical,2004,TZMI501,ZSR923,0,0,INBRED,0,,,,,ILL.B
3937,TZMI730,PI635141,Nigeria,tropical,2004,TZMI407,CIMMYT730Par,0,0,INBRED,0,,,,,BEARDSLEYLEAMING
3926,TZMI719,PI635130,Nigeria,tropical,2004,TZMI101,TZMI501,0,0,INBRED,0,,,,,C112-1
3927,TZMI720,PI635131,Nigeria,tropical,2004,TZMI101,TZMI501,0,0,INBRED,0,,,,,OH920
