"","taxon","genus","species","spauthor","subtaxa","subtauthor","cropname","avail","instcode","accenumb","acckey","collnumb","collcode","taxno","accename","acqdate","origcty","collsite","latitude","longitude","elevation","colldate","bredcode","sampstat","ancest","collsrc","donorcode","donornumb","othernumb","duplsite","storage","latdec","longdec","remarks","history","released","Accesion.N","references","paper","date","Inbred.line","N.GBS.samples","N.Plants","Avg..IBS","X..missing","Breeding.program","Pop.structure","Year","Registration.","Source"
"11","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 10251",1052081,"",NA,311987,"GA219","19890327","","","","",NA,"",NA,400,"Mosby O.P.",40,NA,"",":GA219;USA126:Ames 10251","","10",NA,NA,"Inbred.  White.","DEVELOPED   Georgia, United States by Georgia Agr. Exp. Sta. (Athens). DONATED  03/27/1989 Georgia, United States by Widstrom, N., USDA, ARS","","Ames10251","","","","GA219",1,1,NA,0.58,"Other","unclassified",NA,NA,NA
"12","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 10252",1052084,"",NA,311987,"GA222","19890327","","","","",NA,"",NA,400,"Funks G-714A",40,NA,"",":GA222;USA126:Ames 10252","","10",NA,NA,"Inbred.  Yellow.","DEVELOPED   Georgia, United States by Georgia Agr. Exp. Sta. (Athens). DONATED  03/27/1989 Georgia, United States by Widstrom, N., USDA, ARS","","Ames10252","","","","GA222",1,1,NA,0.51,"Other","unclassified",NA,NA,NA
"13","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","N","USA020","Ames 10253",1052089,"",NA,311987,"GE19","19890327","","","","",NA,"",NA,400,"",40,NA,"",":GE19;USA126:Ames 10253","","10",NA,NA,"Inbred.  White.","DEVELOPED   Georgia, United States by Georgia Agr. Exp. Sta. (Experiment). DONATED  03/27/1989 Georgia, United States by Widstrom, N., USDA, ARS","","Ames10253","","","","GE19",1,1,NA,0.72,"Other","unclassified",NA,NA,NA
"14","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 10254",1052093,"",NA,311987,"GE54","19890327","","","","",NA,"",NA,400,"Good Golden",40,NA,"",":GE54;USA126:Ames 10254","","10",NA,NA,"Inbred from Good Golden.  Yellow.","DEVELOPED   Georgia, United States by Georgia Agr. Exp. Sta. (Experiment). DONATED  03/27/1989 Georgia, United States by Widstrom, N., USDA, ARS","1961","Ames10254","","","","GE54",1,1,NA,0.47,"Other","unclassified",NA,NA,NA
"15","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 10255",1052098,"",NA,311987,"GE72","19890327","","","","",NA,"",NA,400,"",40,NA,"",":GE72;USA126:Ames 10255","","10",NA,NA,"Inbred.  Yellow.","DEVELOPED   Georgia, United States by Georgia Agr. Exp. Sta. (Experiment). DONATED  03/27/1989 Georgia, United States by Widstrom, N., USDA, ARS","","Ames10255","","","","GE72",1,1,NA,0.53,"Other","unclassified",NA,NA,NA
"16","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 10256",1052101,"",NA,311987,"GE129","19890327","","","","",NA,"",NA,400,"Neal Paymaster",40,NA,"",":GE129;USA126:Ames 10256","","10",NA,NA,"Inbred from Neal Paymaster.  White.","DEVELOPED   Georgia, United States by Georgia Agr. Exp. Sta. (Experiment). DONATED  03/27/1989 Georgia, United States by Widstrom, N., USDA, ARS","1961","Ames10256","","","","GE129",2,2,0.998,0.52,"Other","unclassified",NA,NA,NA
"17","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","N","USA020","Ames 10257",1052106,"",NA,311987,"GE281","19890327","","","","",NA,"",NA,400,"Whatley",40,NA,"",":GE281;USA126:Ames 10257","","10",NA,NA,"Inbred from Whatley.  White.","DEVELOPED   Georgia, United States by Georgia Agr. Exp. Sta. (Experiment). DONATED  03/27/1989 Georgia, United States by Widstrom, N., USDA, ARS","1961","Ames10257","","","","GE281",1,1,NA,0.67,"Other","unclassified",NA,NA,NA
"18","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 10258",1052109,"",NA,311987,"GE293","19890327","","","","",NA,"",NA,400,"",40,NA,"",":GE293;USA126:Ames 10258","","10",NA,NA,"Inbred.  White.","DEVELOPED   Georgia, United States by Georgia Agr. Exp. Sta. (Experiment). DONATED  03/27/1989 Georgia, United States by Widstrom, N., USDA, ARS","","Ames10258","","","","GE293",1,1,NA,0.61,"Other","unclassified",NA,NA,NA
"19","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 10259",1052114,"",NA,311987,"GE311","19890327","","","","",NA,"",NA,400,"Huffman",40,NA,"",":GE311;USA126:Ames 10259","","10",NA,NA,"Inbred from Huffman.  White.","DEVELOPED   Georgia, United States by Georgia Agr. Exp. Sta. (Experiment). DONATED  03/27/1989 Georgia, United States by Widstrom, N., USDA, ARS","1961","Ames10259","","","","GE311",1,1,NA,0.53,"Other","unclassified",NA,NA,NA
"20","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 10260",1052117,"",NA,311987,"GE317","19890327","","","","",NA,"",NA,400,"",40,NA,"",":GE317;USA126:Ames 10260","","10",NA,NA,"Inbred.  White.","DEVELOPED   Georgia, United States by Georgia Agr. Exp. Sta. (Experiment). DONATED  03/27/1989 Georgia, United States by Widstrom, N., USDA, ARS","","Ames10260","","","","GE317",1,1,NA,0.5,"Other","unclassified",NA,NA,NA
"21","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 10261",1052122,"",NA,311987,"GE335","19890327","","","","",NA,"",NA,400,"",40,NA,"",":GE335;USA126:Ames 10261","","10",NA,NA,"Inbred.  White.","DEVELOPED   Georgia, United States by Georgia Agr. Exp. Sta. (Experiment). DONATED  03/27/1989 Georgia, United States by Widstrom, N., USDA, ARS","","Ames10261","","","","GE335",1,1,NA,0.54,"Other","unclassified",NA,NA,NA
"22","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 10262",1052125,"",NA,311987,"GT150","19890327","","","","",NA,"",NA,400,"",40,NA,"",":GT150;USA126:Ames 10262","","10",NA,NA,"Inbred.  Yellow.","DEVELOPED   Georgia, United States by Georgia Agr. Exp. Sta. (Tifton). DONATED  03/27/1989 Georgia, United States by Widstrom, N., USDA, ARS","","Ames10262","","","","GT150",1,1,NA,0.67,"Other","unclassified",NA,NA,NA
"23","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 10263",1052129,"",NA,311987,"L 90","19890327","","","","",NA,"",NA,400,"",40,NA,"",":L 90;USA126:Ames 10263","","10",NA,NA,"Inbred.  White.","DEVELOPED   Louisiana, United States by Louisiana Agricultural Experiment Station. DONATED  03/27/1989 Georgia, United States by Widstrom, N., USDA, ARS","","Ames10263","","","","L90",1,1,NA,0.54,"Other","unclassified",NA,NA,NA
"24","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 10264",1052132,"",NA,311987,"L 605","19890327","","","","",NA,"",NA,400,"Yellow Tuxpan",40,NA,"",":L 605;USA126:Ames 10264","","10",NA,NA,"Inbred from Yellow Tuxpeno.  Yellow.","DEVELOPED   Louisiana, United States by Louisiana Agricultural Experiment Station. DONATED  03/27/1989 Georgia, United States by Widstrom, N., USDA, ARS","","Ames10264","","","","L605",1,1,NA,0.68,"Other","unclassified",NA,NA,NA
"25","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 10265",1052135,"",NA,311987,"L 678","19890327","","","","",NA,"",NA,400,"Unidentified hybrid",40,NA,"",":L 678;USA126:Ames 10265","","10",NA,NA,"Inbred.  Yellow.","DEVELOPED   Louisiana, United States by Louisiana Agricultural Experiment Station. DONATED  03/27/1989 Georgia, United States by Widstrom, N., USDA, ARS","","Ames10265","","","","L678",1,1,NA,0.62,"Other","unclassified",NA,NA,NA
"26","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 10266",1052138,"",NA,311987,"L 690","19890327","","","","",NA,"",NA,400,"",40,NA,"",":L 690;USA126:Ames 10266","","10",NA,NA,"Inbred.  Yellow.","DEVELOPED   Louisiana, United States by Louisiana Agricultural Experiment Station. DONATED  03/27/1989 Georgia, United States by Widstrom, N., USDA, ARS","","Ames10266","","","","L690",2,2,0.997,0.61,"Other","unclassified",NA,NA,NA
"27","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 10267",1052143,"",NA,311987,"SC15","19890327","","","","",NA,"",NA,400,"(SC213 x L97B) SC213",40,NA,"",":SC15;USA126:Ames 10267","","10",NA,NA,"Inbred from SC415. Yellow.  Vigorous and productive with maturity similar to its recurrent parent.  Tall and prolific with good grain quality.  Produced well in single cross combinations with SC13 and SC213.  Showed excellent general combining ability and stalk strength.","DEVELOPED   South Carolina, United States by South Carolina Agricultural Experiment Station. DONATED  03/27/1989 Georgia, United States by Widstrom, N., USDA, ARS","","Ames10267","","","","SC15",1,1,NA,0.53,"Other","unclassified",NA,NA,NA
"28","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","N","USA020","Ames 10268",1052147,"",NA,311987,"SC16","19890327","","","","",NA,"",NA,400,"",40,NA,"",":SC16;USA126:Ames 10268","","10",NA,NA,"nbred from SC416. Yellow.  Slighty related to SC90 through its nonrecurrent parent.  Differed from SC213 by showing less European corn borer resistance but very good virus tolerance in 1980.  May be segregating for plant size.","DEVELOPED   South Carolina, United States by South Carolina Agricultural Experiment Station. DONATED  03/27/1989 Georgia, United States by Widstrom, N., USDA, ARS","","Ames10268","","","","SC16",2,2,0.966,0.54,"Other","unclassified",NA,NA,NA
"29","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 10269",1052153,"",NA,311987,"SC44","19890327","","","","",NA,"",NA,400,"SC246C x Mp462",40,NA,"",":SC44;USA126:Ames 10269","","10",NA,NA,"nbred from SC44.  Yellow.  Satisfactory virus tolerance and standability with good general combining.  Tall and late, producing abundant pollen and one or two small ears with tight husk. Generally a ""silk sneaker"" and was difficult to handle in nursery.  Grain quality good.  Seed does not appear to be inbred seed. Mixed sizes. Do not PI until viewing other material with this ID.","DEVELOPED   South Carolina, United States by South Carolina Agricultural Experiment Station. DONATED  03/27/1989 Georgia, United States by Widstrom, N., USDA, ARS","1980","Ames10269","","","","SC44",1,1,NA,0.57,"Other","unclassified",NA,NA,NA
"30","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 10271",1052161,"",NA,311987,"SC84E","19890327","","","","",NA,"",NA,400,"",40,NA,"",":SC84E;USA126:Ames 10271","","10",NA,NA,"nbred fron SC484.  Outstanding general combiner with good standability.  Usually produced two ears with short tight husks and abundant pollen. Segregating for cob color. may still carry a wild opaque.  The parent stock (SC484) has taller later and more prolific types.  Seed does not appear to be inbred seed. Mixed sizes. Do not PI until viewing other material with this ID.","DEVELOPED   South Carolina, United States by South Carolina Agricultural Experiment Station. DONATED  03/27/1989 Georgia, United States by Widstrom, N., USDA, ARS","","Ames10271","","","","SC84E",1,1,NA,0.4,"Other","unclassified",NA,NA,NA
"31","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 10272",1052164,"",NA,311987,"SC90","19890327","","","","",NA,"",NA,400,"Funk G730 x unknown parent",40,NA,"",":SC90;USA126:Ames 10272","","10",NA,NA,"Inbred from Funk G730 and an unknown parent. Showed excellent stalk strength but was rather specific for combining ability.  Segregating cob color.  Downy mildew resistant.  Slightly related to SC16.  It had satisfactory virus resistance even in 1980 and showed downy mildew resistance in Texas. It generally has two ears and is a little earlier than SC213. The cob color is still segregating.","DEVELOPED   South Carolina, United States by South Carolina Agricultural Experiment Station. DONATED  03/27/1989 Georgia, United States by Widstrom, N., USDA, ARS","1980","Ames10272","","","","SC90",1,1,NA,0.61,"Other","unclassified",NA,NA,NA
"32","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 10273",1052169,"",NA,311987,"SC102","19890327","","","","",NA,"",NA,400,"",40,NA,"",":SC102;USA126:Ames 10273","","10",NA,NA,"Inbred.   White.","DEVELOPED   South Carolina, United States by South Carolina Agricultural Experiment Station. DONATED  03/27/1989 Georgia, United States by Widstrom, N., USDA, ARS","","Ames10273","","","","SC102",1,1,NA,0.47,"Other","unclassified",NA,NA,NA
"33","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 10274",1052172,"",NA,311987,"SC144","19890327","","","","",NA,"",NA,400,"",40,NA,"",":SC144;USA126:Ames 10274","","10",NA,NA,"Inbred.  Yellow.","DEVELOPED   South Carolina, United States by South Carolina Agricultural Experiment Station. DONATED  03/27/1989 Georgia, United States by Widstrom, N., USDA, ARS","","Ames10274","","","","SC144",2,2,0.992,0.64,"Other","unclassified",NA,NA,NA
"34","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 10276",1052179,"",NA,311987,"SC225","19890327","","","","",NA,"",NA,400,"",40,NA,"",":SC225;USA126:Ames 10276","","10",NA,NA,"White inbred.","DEVELOPED   South Carolina, United States by South Carolina Agricultural Experiment Station. DONATED  03/27/1989 Georgia, United States by Widstrom, N., USDA, ARS","","Ames10276","","","","SC225",1,1,NA,0.67,"Other","unclassified",NA,NA,NA
"35","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 10277",1052184,"",NA,311987,"SC235","19890327","","","","",NA,"",NA,400,"Fla3 x Huffman",40,NA,"",":SC235;USA126:Ames 10277","","10",NA,NA,"Inbred from Fla 3 X Huffman. White.  Initial release was 235R3, a restorer in Texas cytoplasm. SC235 is the normal counterpart.  Good husk protection and satisfactory virus protection. Combining ability and stalk strength fair.  Good downy mildew resistance.  Higher than average lysine.","DEVELOPED   South Carolina, United States by South Carolina Agricultural Experiment Station. DONATED  03/27/1989 Georgia, United States by Widstrom, N., USDA, ARS","1974","Ames10277","","","","SC235",2,2,0.995,0.57,"Other","unclassified",NA,NA,NA
"36","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 10287",1052222,"",NA,311987,"ABPl 3","19890407","","","","",NA,"",NA,400,"",40,NA,"",":ABPl 3;USA126:Ames 10287;:85:2023","","10",NA,NA,"This line was given by Robert Peterson, University of Minn., he used it as one parent of an F1 that was used as a row marker.","DEVELOPED   Minnesota, United States by University of Minnesota. DONATED  04/07/1989 Iowa, United States by Widrlechner, M., Ornamental Corn Improvement Project, Inc.","","Ames10287","","","","ABPl3",1,1,NA,0.57,"Other","unclassified",NA,NA,NA
"37","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","N","USA020","Ames 12725",1061294,"",NA,311987,"NC7","19890424","","","","",NA,"",NA,400,"Indian Chief",40,NA,"",":NC7;USA126:Ames 12725;:Goodman 41(83)","","10",NA,NA,"See NSL number.","DEVELOPED   North Carolina, United States by North Carolina State University. DONATED  04/24/1989 North Carolina, United States by Goodman, M., North Carolina State University","","Ames12725","","","na","NC7",1,1,NA,0.63,"North Carolina","unclassified",NA,NA,NA
"38","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 12726",1061295,"",NA,311987,"NC13","19890424","","","","",NA,"",NA,400,"Indian Chief",40,NA,"",":NC13;USA126:Ames 12726;:Goodman 41(83);:3890-2;:3890-3;:912-blk/87|30|","","10",NA,NA,"Kernels are of a large size and have a clear orange-yellow kernel color that are long and narrow at the tip.  Kernels are of a hard dent to flinty texture.  Roots are weak with little lateral spread.  Stalks are strong and wiry.  Plant height is 1.8 m.; ear height is .9 m.  The inbred is a low yielding seed producer with small ears.  Ears have a small tuft of silks.  Husk texture is thin to papery.  Plants are moderately susceptible to southern leaf spot and susceptible to brown spot.  Plants have good resistance to root, stalk, and ear rots.  Plants have good resistance to common smut.  The inbred has medium resistance to stored grain weevil and is tolerant of corn earworm.  At the time of donation the inbred was considered obsolete.","DEVELOPED   North Carolina, United States by North Carolina State University. DONATED  04/24/1989 North Carolina, United States by Goodman, M., North Carolina State University","","Ames12726","Accession was donated. 24-Apr-1989. North Carolina, United States. Goodman, M., North Carolina State University.","n","1989","NC13",1,1,NA,0.66,"North Carolina","unclassified",NA,NA,NA
"39","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 12727",1061302,"",NA,311987,"NC83","19890424","","","","",NA,"",NA,400,"",40,NA,"",":NC83;USA126:Ames 12727","","10",NA,NA,"","DEVELOPED   North Carolina, United States by North Carolina State University. DONATED  04/24/1989 North Carolina, United States by Goodman, M., North Carolina State University","","Ames12727","","","na","NC83",1,1,NA,0.63,"North Carolina","unclassified",NA,NA,NA
"40","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 12728",1061303,"",NA,311987,"NC220","19890424","","","","",NA,"",NA,400,"Funk 12 x Funk 158",40,NA,"",":NC220;USA126:Ames 12728","","10",NA,NA,"","DEVELOPED   North Carolina, United States by North Carolina State University. DONATED  04/24/1989 North Carolina, United States by Goodman, M., North Carolina State University","","Ames12728","Accession was donated. 24-Apr-1989. North Carolina, United States Goodman, M., North Carolina State University.
","n","1989","NC220",1,1,NA,0.52,"North Carolina","unclassified",NA,NA,NA
"41","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 12729",1061308,"",NA,311987,"NC222","19890424","","","","",NA,"",NA,400,"Jarvis Golden Prolific",40,NA,"",":NC222;USA126:Ames 12729;:3173-2/00;:Goodman 41(83)","USA005","10",NA,NA,"","DEVELOPED   North Carolina, United States by North Carolina State University. DONATED  04/24/1989 North Carolina, United States by Goodman, M., North Carolina State University","","Ames12729","Accession was donated. 24-Apr-1989. North Carolina, United States Goodman, M., North Carolina State University.
","n","1989","NC222",4,3,0.997,0.27,"North Carolina","unclassified",NA,NA,NA
"42","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 12730",1061309,"",NA,311987,"NC224","19890424","","","","",NA,"",NA,400,"",40,NA,"",":NC224;USA126:Ames 12730","","10",NA,NA,"","DEVELOPED   North Carolina, United States by North Carolina State University. DONATED  04/24/1989 North Carolina, United States by Goodman, M., North Carolina State University","","Ames12730","Accession was donated. 24-Apr-1989. North Carolina, United States Goodman, M., North Carolina State University.
","n","1989","NC224",1,1,NA,0.6,"North Carolina","unclassified",NA,NA,NA
"43","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 12731",1061314,"",NA,311987,"NC230","19890424","","","","",NA,"",NA,400,"",40,NA,"",":NC230;USA126:Ames 12731;:3176-2/00;:Goodman 41(83)","USA005","10",NA,NA,"","DEVELOPED   North Carolina, United States by North Carolina State University. DONATED  04/24/1989 North Carolina, United States by Goodman, M., North Carolina State University","","Ames12731","Accession was donated. 24-Apr-1989. North Carolina, United States Goodman, M., North Carolina State University.
","n","1989","NC230",3,2,0.998,0.39,"North Carolina","unclassified",NA,NA,NA
"44","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 12732",1061315,"",NA,311987,"NC232","19890424","","","","",NA,"",NA,400,"",40,NA,"",":NC232;USA126:Ames 12732;:3178-2/00;:Goodman 41(83)","USA005","10",NA,NA,"","DEVELOPED   North Carolina, United States by North Carolina State University. DONATED  04/24/1989 North Carolina, United States by Goodman, M., North Carolina State University","","Ames12732","Accession was donated. 24-Apr-1989. North Carolina, United States Goodman, M., North Carolina State University.
","n","1989","NC232",4,3,0.997,0.38,"North Carolina","unclassified",NA,NA,NA
"45","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 12733",1061323,"",NA,311987,"NC234","19890424","","","","",NA,"",NA,400,"",40,NA,"",":NC234;USA126:Ames 12733;:Goodman 41(83)","","10",NA,NA,"","DEVELOPED   North Carolina, United States by North Carolina State University. DONATED  04/24/1989 North Carolina, United States by Goodman, M., North Carolina State University","","Ames12733","Accession was donated. 24-Apr-1989. North Carolina, United States Goodman, M., North Carolina State University.
","n","1989","NC234",1,1,NA,0.65,"North Carolina","unclassified",NA,NA,NA
"46","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 12734",1061324,"",NA,311987,"NC236","19890424","","","","",NA,"",NA,400,"",40,NA,"",":NC236;USA126:Ames 12734;:3182-3/00;:Goodman 41(83)","USA005","10",NA,NA,"","DEVELOPED   North Carolina, United States by North Carolina State University. DONATED  04/24/1989 North Carolina, United States by Goodman, M., North Carolina State University","","Ames12734","Accession was donated. 24-Apr-1989. North Carolina, United States Goodman, M., North Carolina State University.
","n","1989","NC236",4,3,0.988,0.32,"North Carolina","unclassified",NA,NA,NA
"47","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 12735",1061331,"",NA,311987,"NC238","19890424","","","","",NA,"",NA,400,"",40,NA,"",":NC238;USA126:Ames 12735;:3184-2/00;:Goodman 41(83)","USA005","10",NA,NA,"","DEVELOPED   North Carolina, United States by North Carolina State University. DONATED  04/24/1989 North Carolina, United States by Goodman, M., North Carolina State University","","Ames12735","Accession was donated. 24-Apr-1989. North Carolina, United States Goodman, M., North Carolina State University.
","n","1989","NC238",3,2,0.991,0.45,"North Carolina","unclassified",NA,NA,NA
"48","Zea mays subsp. mays","Zea","mays","L.","subsp. mays","","sweet corn","Y","USA020","Ames 12736",1061332,"",NA,311987,"NC240A","19890424","","","","",NA,"",NA,400,"",40,NA,"",":NC240A;USA126:Ames 12736;:Goodman 41(83)","","10",NA,NA,"","DEVELOPED   North Carolina, United States by North Carolina State University. DONATED  04/24/1989 North Carolina, United States by Goodman, M., North Carolina State University","","Ames12736","Accession was donated. 24-Apr-1989. North Carolina, United States Goodman, M., North Carolina State University.
","n","1989","NC240A",1,1,NA,0.58,"North Carolina","unclassified",NA,NA,NA
